Time(s),Length(m),[Calcium],Force(N)
 0.138,0.251768,0.999500,53.796136
 0.139,0.251792,0.999590,54.529568
 0.140,0.251816,0.999665,55.239286
 0.141,0.251838,0.999725,55.927024
 0.142,0.251860,0.999775,56.597128
 0.143,0.251882,0.999816,57.246395
 0.144,0.251902,0.999849,57.874368
 0.145,0.251923,0.999877,58.486582
 0.146,0.251942,0.999899,59.081169
 0.147,0.251961,0.999917,59.655940
 0.148,0.251979,0.999932,60.214478
 0.149,0.251997,0.999945,60.758600
 0.150,0.252015,0.999955,61.286804
 0.151,0.252031,0.999963,61.796621
 0.152,0.252048,0.999970,62.294056
 0.153,0.252064,0.999975,62.777831
 0.154,0.252079,0.999980,63.247577
 0.155,0.252094,0.999983,63.701030
 0.156,0.252109,0.999986,64.143579
 0.157,0.252123,0.999989,64.574187
 0.158,0.252136,0.999991,64.992414
 0.159,0.252150,0.999992,65.397266
 0.160,0.252163,0.999994,65.790555
 0.161,0.252175,0.999995,66.174222
 0.162,0.252188,0.999996,66.546947
 0.163,0.252199,0.999997,66.909071
 0.164,0.252211,0.999997,67.259093
 0.165,0.252222,0.999998,67.600790
 0.166,0.252233,0.999998,67.933303
 0.167,0.252244,0.999998,68.256436
 0.168,0.252254,0.999999,68.570474
 0.169,0.252264,0.999999,68.875158
 0.170,0.252274,0.999999,69.170869
 0.171,0.252283,0.999999,69.459474
 0.172,0.252292,0.999999,69.740009
 0.173,0.252301,1.000000,70.012718
 0.174,0.252310,1.000000,70.277839
 0.175,0.252319,1.000000,70.534740
 0.176,0.252327,1.000000,70.785640
 0.177,0.252335,1.000000,71.029520
 0.178,0.252343,1.000000,71.266661
 0.179,0.252350,1.000000,71.497266
 0.180,0.252358,1.000000,71.721529
 0.181,0.252365,1.000000,71.939641
 0.182,0.252372,1.000000,72.152060
 0.183,0.252379,1.000000,72.358544
 0.184,0.252385,1.000000,72.559378
 0.185,0.252392,1.000000,72.754729
 0.186,0.252398,1.000000,72.944756
 0.187,0.252404,1.000000,73.129618
 0.188,0.252410,1.000000,73.309465
 0.189,0.252416,1.000000,73.484886
 0.190,0.252421,1.000000,73.656897
 0.191,0.252427,1.000000,73.822591
 0.192,0.252432,1.000000,73.983815
 0.193,0.252437,1.000000,74.140700
 0.194,0.252442,1.000000,74.293373
 0.195,0.252447,1.000000,74.441955
 0.196,0.252452,1.000000,74.586564
 0.197,0.252456,1.000000,74.727316
 0.198,0.252461,1.000000,74.864773
 0.199,0.252465,1.000000,75.001608
 0.200,0.252470,1.000000,75.132174
 0.201,0.252474,1.000000,75.258467
 0.202,0.252478,1.000000,75.381415
 0.203,0.252482,1.000000,75.501107
 0.204,0.252486,1.000000,75.617632
 0.205,0.252489,1.000000,75.731080
 0.206,0.252493,1.000000,75.841538
 0.207,0.252497,1.000000,75.949089
 0.208,0.252500,1.000000,76.053817
 0.209,0.252503,1.000000,76.157576
 0.210,0.252507,1.000000,76.260287
 0.211,0.252510,1.000000,76.360230
 0.212,0.252513,1.000000,76.454136
 0.213,0.252516,1.000000,76.545592
 0.214,0.252519,1.000000,76.634665
 0.215,0.252522,1.000000,76.721422
 0.216,0.252525,1.000000,76.805928
 0.217,0.252527,1.000000,76.888245
 0.218,0.252530,1.000000,76.968435
 0.219,0.252533,1.000000,77.046555
 0.220,0.252535,1.000000,77.122663
 0.221,0.252538,1.000000,77.196815
 0.222,0.252540,1.000000,77.269065
 0.223,0.252542,1.000000,77.340540
 0.224,0.252545,1.000000,77.412560
 0.225,0.252547,1.000000,77.482670
 0.226,0.252549,1.000000,77.550925
 0.227,0.252551,1.000000,77.617379
 0.228,0.252554,1.000000,77.681188
 0.229,0.252555,1.000000,77.740842
 0.230,0.252557,1.000000,77.798989
 0.231,0.252559,1.000000,77.855671
 0.232,0.252561,1.000000,77.910927
 0.233,0.252563,1.000000,77.964796
 0.234,0.252565,1.000000,78.017314
 0.235,0.252566,1.000000,78.068512
 0.236,0.252568,1.000000,78.118420
 0.237,0.252570,1.000000,78.167070
 0.238,0.252571,1.000000,78.214497
 0.239,0.252573,1.000000,78.260731
 0.240,0.252574,1.000000,78.305804
 0.241,0.252576,1.000000,78.349746
 0.242,0.252577,1.000000,78.392586
 0.243,0.252578,1.000000,78.434800
 0.244,0.252580,1.000000,78.478952
 0.245,0.252581,1.000000,78.521924
 0.246,0.252583,1.000000,78.563749
 0.247,0.252584,1.000000,78.604461
 0.248,0.252585,1.000000,78.644092
 0.249,0.252586,1.000000,78.682671
 0.250,0.252588,1.000000,78.720230
 0.251,0.252589,1.000000,78.756797
 0.252,0.252590,1.000000,78.792401
 0.253,0.252591,1.000000,78.826706
 0.254,0.252592,1.000000,78.857088
 0.255,0.252593,1.000000,78.886732
 0.256,0.252594,1.000000,78.915656
 0.257,0.252595,1.000000,78.943879
 0.258,0.252596,1.000000,78.971419
 0.259,0.252597,1.000000,78.998292
 0.260,0.252598,1.000000,79.024514
 0.261,0.252599,1.000000,79.050104
 0.262,0.252599,1.000000,79.075075
 0.263,0.252600,1.000000,79.099445
 0.264,0.252601,1.000000,79.123227
 0.265,0.252602,1.000000,79.146436
 0.266,0.252602,1.000000,79.169088
 0.267,0.252603,1.000000,79.191195
 0.268,0.252604,1.000000,79.212772
 0.269,0.252605,1.000000,79.233831
 0.270,0.252605,1.000000,79.254386
 0.271,0.252606,1.000000,79.274450
 0.272,0.252607,1.000000,79.294033
 0.273,0.252607,1.000000,79.313149
 0.274,0.252608,1.000000,79.331810
 0.275,0.252608,1.000000,79.350025
 0.276,0.252609,1.000000,79.367807
 0.277,0.252610,1.000000,79.385166
 0.278,0.252610,1.000000,79.402113
 0.279,0.252611,1.000000,79.418658
 0.280,0.252611,1.000000,79.434811
 0.281,0.252612,1.000000,79.453541
 0.282,0.252612,1.000000,79.472229
 0.283,0.252613,1.000000,79.490398
 0.284,0.252614,1.000000,79.508062
 0.285,0.252614,1.000000,79.525239
 0.286,0.252615,1.000000,79.541944
 0.287,0.252615,1.000000,79.558190
 0.288,0.252616,1.000000,79.573993
 0.289,0.252616,1.000000,79.589365
 0.290,0.252617,1.000000,79.604320
 0.291,0.252617,1.000000,79.618871
 0.292,0.252618,1.000000,79.633030
 0.293,0.252618,1.000000,79.646808
 0.294,0.252619,1.000000,79.660218
 0.295,0.252619,1.000000,79.673270
 0.296,0.252619,1.000000,79.685975
 0.297,0.252620,1.000000,79.698344
 0.298,0.252620,1.000000,79.710386
 0.299,0.252621,1.000000,79.722111
 0.300,0.252621,1.000000,79.733529
 0.301,0.252621,1.000000,79.744648
 0.302,0.252622,1.000000,79.755478
 0.303,0.252622,1.000000,79.766027
 0.304,0.252622,1.000000,79.776303
 0.305,0.252623,1.000000,79.786314
 0.306,0.252623,1.000000,79.796067
 0.307,0.252623,1.000000,79.805571
 0.308,0.252624,1.000000,79.814832
 0.309,0.252624,1.000000,79.823858
