Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
59,0.2506,0.0836,0.01387,0,0.283,0.0538,0,1.44,-10.61,293.62,0.3176
60,0.2506,0.0835,0.01387,0,0.283,0.0538,0,0,-10.32,293.16,0.3176
61,0.2507,0.0834,0.01387,0,0.283,0.0538,0,0,-9.66,292.39,0.3176
62,0.2507,0.0834,0.01387,0,0.283,0.0538,0,0,-8.77,291.8,0.3178
63,0.2507,0.0833,0.01387,9.449,0.283,0.0538,0.169,-0.9474,-7.93,291.58,0.3182
64,0.2507,0.0832,0.01452,-9.449,0.283,0.0538,-0.169,0.9474,-7.37,291.45,0.3185
65,0.2507,0.0832,0.01452,0,0.283,0.0538,0,0,-7.05,291.56,0.3186
66,0.2508,0.0831,0.01452,0,0.283,0.0538,0,0,-6.66,291.51,0.3182
67,0.2508,0.0831,0.01452,0,0.283,0.0538,0,0,-5.96,290.82,0.318
68,0.2508,0.083,0.01452,0,0.283,0.0538,0,0,-4.85,289.27,0.318
69,0.2508,0.0829,0.01452,0,0.283,0.0538,0,0,-3.63,287.3,0.3179
70,0.2508,0.0829,0.01452,9.451,0.283,0.0538,0.1684,0.4922,-2.65,285.21,0.3179
71,0.2508,0.0828,0.01518,-7.775,0.283,0.0538,-1.5786,-0.6603,-1.88,283.18,0.3177
72,0.2508,0.0828,0.0153,-1.676,0.2829,0.0538,1.4102,0.168,-1.25,281.66,0.3174
73,0.2507,0.0827,0.0153,0,0.2829,0.0538,0,0,-0.58,280.6,0.3169
74,0.2507,0.0827,0.0153,0,0.2829,0.0538,0,0,0.48,279.6,0.3165
75,0.2507,0.0826,0.0153,-9.445,0.2829,0.0538,-0.1682,0.9472,2.14,278.47,0.3159
76,0.2507,0.0826,0.01464,9.445,0.2829,0.0538,0.1682,-0.9472,4.09,276.99,0.3153
77,0.2506,0.0826,0.01464,9.445,0.2829,0.0538,0.1682,-0.9472,5.84,275,0.3154
78,0.2506,0.0826,0.0153,-9.445,0.2829,0.0538,-0.1682,0.9472,7.15,272.85,0.3156
79,0.2505,0.0826,0.0153,1.673,0.2829,0.0538,0.0297,-0.1678,8.03,271.21,0.3162
80,0.2504,0.0826,0.01541,-1.673,0.2829,0.0538,-0.0297,0.1678,8.73,270.44,0.3169
81,0.2504,0.0826,0.01541,17.223,0.2829,0.0538,0.305,-0.2875,9.4,270.22,0.3173
82,0.2504,0.0826,0.01661,-15.562,0.2829,0.0537,-1.7157,0.1209,9.9,269.85,0.3175
83,0.2504,0.0826,0.01672,7.784,0.2828,0.0537,0.137,-0.7809,10.42,269.14,0.3182
84,0.2504,0.0826,0.01738,0.002,0.2827,0.0537,1.4394,1.4397,11.38,268.41,0.3197
85,0.2503,0.0826,0.01803,1.643,0.2827,0.0537,-1.412,-1.605,12.89,268.08,0.321
86,0.2503,0.0827,0.01881,-1.645,0.2827,0.0536,1.4106,1.605,14.85,268.31,0.322
87,0.2503,0.0827,0.01946,0.002,0.2827,0.0537,1.4394,-1.4403,16.82,269.12,0.3234
88,0.2503,0.0828,0.02012,0.002,0.2828,0.0536,-0.0006,1.4397,18.57,270.54,0.3259
89,0.2504,0.0829,0.02077,11.066,0.2829,0.0536,-1.2511,0.3289,20.43,272.78,0.3295
90,0.2505,0.0831,0.0222,7.842,0.2829,0.0537,1.5697,-0.7882,22.56,276.32,0.3338
91,0.2506,0.0834,0.02417,11.047,0.283,0.0537,1.6183,0.3291,24.58,281.86,0.3387
92,0.2507,0.0839,0.0269,36.325,0.2833,0.0537,2.018,2.1055,25.99,290.04,0.3437
93,0.2509,0.0845,0.03216,1.593,0.2837,0.0539,-0.0153,2.7132,26.82,301.24,0.3482
94,0.2513,0.0852,0.03753,29.906,0.2841,0.0542,0.4038,1.3003,27.17,314.82,0.3519
95,0.2518,0.086,0.04498,17.638,0.2845,0.0547,3.0461,1.0887,26.73,329.08,0.3546
96,0.2526,0.0868,0.05365,20.401,0.2851,0.0552,-1.2846,-0.6361,25.03,343.37,0.3566
97,0.2534,0.0878,0.06374,-20.212,0.2856,0.0557,1.0504,0.5855,22,358.62,0.3585
98,0.2543,0.0888,0.07242,0.09,0.2862,0.0562,-1.5488,-1.4622,17.94,376.26,0.3604
99,0.2549,0.0897,0.08111,-19.046,0.2867,0.0566,-1.7469,-0.9622,13.44,396.84,0.362
100,0.2555,0.0906,0.08848,-19.109,0.2871,0.057,-0.2649,-0.9507,8.86,420.18,0.3631
101,0.256,0.0912,0.09452,-20.025,0.2875,0.0573,-0.2384,-0.854,4.63,445.81,0.3639
102,0.2566,0.0916,0.09917,-28.674,0.2878,0.0575,-0.288,0.0264,1.02,473.17,0.3647
