Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
256,0.2455,0.0889,0.00706,9.614,0.2833,0.0544,1.6185,0.4772,0.06,225.77,0.3002
257,0.2451,0.0892,0.00706,-9.612,0.2833,0.0544,-0.1791,0.9625,-0.16,218.95,0.2993
258,0.2447,0.0896,0.00639,9.612,0.2833,0.0545,0.1791,0.4775,-0.39,212.08,0.2984
259,0.2443,0.09,0.00639,-9.609,0.2833,0.0546,-0.1797,-0.4779,-0.64,205.42,0.2976
260,0.244,0.0904,0.00572,0.002,0.2833,0.0546,-1.4406,-0.0004,-0.99,199.17,0.2966
261,0.2436,0.0908,0.00506,0.002,0.2832,0.0547,1.4394,-1.4404,-1.08,193.5,0.2958
262,0.2434,0.0911,0.00439,9.605,0.2832,0.0547,-1.2591,0.4786,-0.78,188.52,0.2954
263,0.2432,0.0914,0.00439,-19.202,0.2831,0.0547,-0.3636,0.4817,-0.42,184.4,0.2943
264,0.243,0.0916,0.00306,19.202,0.283,0.0547,0.3636,0.9583,-0.04,181.14,0.2922
265,0.2427,0.0919,0.00306,-9.597,0.2829,0.0548,1.2573,-0.4797,0.4,178.96,0.2903
266,0.2424,0.0921,0.00239,0.002,0.2829,0.0549,-0.0006,-0.0004,0.85,177.62,0.2893
267,0.2421,0.0923,0.00172,7.758,0.2828,0.0549,0.1481,-0.7762,1.35,176.59,0.2883
268,0.2419,0.0925,0.0016,-15.509,0.2828,0.055,-1.7381,0.1113,1.95,175.96,0.2865
269,0.2417,0.0926,0.00039,5.903,0.2827,0.055,1.5523,-0.5907,2.81,176.25,0.2843
270,0.2415,0.0927,-0.0004,1.851,0.2827,0.055,0.035,1.2547,4.16,177.19,0.281
271,0.2414,0.0928,-0.00107,0.002,0.2827,0.055,-1.4406,-1.4404,5.88,179.62,0.2776
272,0.2413,0.0928,-0.00173,0.002,0.2826,0.055,1.4394,-0.0004,7.64,184.57,0.275
273,0.2411,0.0928,-0.0024,0.002,0.2826,0.0549,-1.4406,-0.0004,9.16,192.09,0.2718
274,0.241,0.0928,-0.00307,7.702,0.2824,0.0549,1.5907,-0.7698,10.51,201.9,0.2685
275,0.2409,0.0927,-0.0032,-7.705,0.2824,0.0548,-0.1516,0.77,11.7,213.87,0.2663
276,0.2408,0.0926,-0.00386,0.003,0.2824,0.0548,-0.0006,-0.0004,12.74,227.6,0.2649
277,0.2407,0.0925,-0.00453,0.003,0.2824,0.0548,-0.0006,-0.0004,13.75,242.59,0.2637
278,0.2407,0.0924,-0.00519,9.582,0.2824,0.0547,0.1897,0.4826,14.78,258.39,0.2626
279,0.2406,0.0923,-0.00519,-9.58,0.2824,0.0547,-1.6303,-0.483,15.88,274.84,0.2612
280,0.2406,0.0922,-0.00586,7.671,0.2823,0.0547,1.5923,0.6737,17.04,291.74,0.2596
281,0.2406,0.0921,-0.00599,-5.759,0.2823,0.0547,-1.5549,-0.8648,18.06,307.97,0.2578
282,0.2406,0.092,-0.00652,5.753,0.2822,0.0547,1.5546,-0.5747,18.89,322.29,0.2564
283,0.2406,0.0919,-0.00666,1.915,0.2822,0.0546,0.0382,1.2487,19.72,334.84,0.2555
284,0.2405,0.0919,-0.00666,0,0.2822,0.0546,0,0,20.41,345.74,0.2554
285,0.2404,0.0918,-0.00666,0,0.2822,0.0546,0,0,20.65,354.55,0.2553
286,0.2403,0.0918,-0.00666,0,0.2822,0.0546,0,0,20.36,361.18,0.2551
287,0.2402,0.0917,-0.00666,9.583,0.2822,0.0546,0.1911,0.4828,19.51,365.49,0.2553
288,0.24,0.0916,-0.00599,0,0.2822,0.0546,0,0,18.28,367.12,0.2556
