Time(s),Force(N)
 0.636,   2.720
 0.638,   2.681
 0.640,   2.597
 0.642,   2.588
 0.644,   2.675
 0.646,   2.703
 0.648,   2.629
 0.650,   2.527
 0.652,   2.428
 0.654,   2.333
 0.656,   2.246
 0.658,   2.210
 0.660,   2.242
 0.662,   2.249
 0.664,   2.231
 0.666,   2.291
 0.668,   2.380
 0.670,   2.355
 0.672,   2.272
 0.674,   2.182
 0.676,   2.109
 0.678,   2.092
 0.680,   2.173
 0.682,   2.285
 0.684,   2.331
 0.686,   2.276
 0.688,   2.190
 0.690,   2.104
 0.692,   2.054
 0.694,   2.106
 0.696,   2.224
 0.698,   2.243
 0.700,   2.175
 0.702,   2.090
 0.704,   2.009
 0.706,   1.930
 0.708,   1.854
 0.710,   1.782
 0.712,   1.744
 0.714,   1.774
 0.716,   1.831
 0.718,   1.813
 0.720,   1.749
 0.722,   1.698
 0.724,   1.741
 0.726,   1.870
 0.728,   1.927
 0.730,   1.882
 0.732,   1.809
 0.734,   1.738
 0.736,   1.670
 0.738,   1.604
 0.740,   1.541
 0.742,   1.481
 0.744,   1.431
 0.746,   1.431
 0.748,   1.479
 0.750,   1.529
 0.752,   1.602
 0.754,   1.704
 0.756,   1.721
 0.758,   1.667
 0.760,   1.601
 0.762,   1.539
 0.764,   1.478
 0.766,   1.420
 0.768,   1.365
 0.770,   1.311
 0.772,   1.260
 0.774,   1.210
 0.776,   1.176
 0.778,   1.209
 0.780,   1.336
 0.782,   1.466
 0.784,   1.492
 0.786,   1.447
 0.788,   1.391
 0.790,   1.336
 0.792,   1.284
 0.794,   1.233
 0.796,   1.185
 0.798,   1.138
 0.800,   1.094
 0.802,   1.051
 0.804,   1.010
 0.806,   0.970
 0.808,   0.932
 0.810,   0.897
 0.812,   0.908
 0.814,   0.985
 0.816,   1.079
 0.818,   1.093
 0.820,   1.057
 0.822,   1.015
 0.824,   0.975
 0.826,   0.937
 0.828,   0.900
 0.830,   0.865
 0.832,   0.831
 0.834,   0.799
 0.836,   0.767
 0.838,   0.737
 0.840,   0.708
 0.842,   0.681
 0.844,   0.655
 0.846,   0.698
 0.848,   0.839
 0.850,   1.011
 0.852,   1.064
 0.854,   1.033
 0.856,   0.993
 0.858,   0.954
 0.860,   0.916
 0.862,   0.881
 0.864,   0.846
 0.866,   0.813
 0.868,   0.781
 0.870,   0.750
 0.872,   0.721
 0.874,   0.693
 0.876,   0.665
 0.878,   0.639
 0.880,   0.614
 0.882,   0.590
 0.884,   0.567
 0.886,   0.545
 0.888,   0.523
 0.890,   0.503
 0.892,   0.483
 0.894,   0.464
 0.896,   0.446
 0.898,   0.429
 0.900,   0.412
 0.902,   0.396
 0.904,   0.380
 0.906,   0.365
 0.908,   0.351
 0.910,   0.337
 0.912,   0.324
 0.914,   0.311
 0.916,   0.299
 0.918,   0.287
 0.920,   0.276
 0.922,   0.265
 0.924,   0.255
 0.926,   0.245
 0.928,   0.235
 0.930,   0.226
 0.932,   0.217
 0.934,   0.209
 0.936,   0.200
 0.938,   0.193
 0.940,   0.185
 0.942,   0.178
 0.944,   0.171
 0.946,   0.164
 0.948,   0.158
 0.950,   0.151
 0.952,   0.146
 0.954,   0.140
 0.956,   0.134
 0.958,   0.129
 0.960,   0.124
 0.962,   0.119
 0.964,   0.114
 0.966,   0.110
 0.968,   0.106
 0.970,   0.102
 0.972,   0.098
 0.974,   0.101
 0.976,   0.153
 0.978,   0.253
 0.980,   0.337
 0.982,   0.355
 0.984,   0.343
 0.986,   0.329
 0.988,   0.317
 0.990,   0.304
 0.992,   0.292
 0.994,   0.281
 0.996,   0.270
 0.998,   0.259
 1.000,   0.249
 1.002,   0.239
 1.004,   0.230
 1.006,   0.221
 1.008,   0.212
 1.010,   0.204
 1.012,   0.196
 1.014,   0.188
 1.016,   0.181
 1.018,   0.174
 1.020,   0.167
 1.022,   0.160
 1.024,   0.154
 1.026,   0.148
 1.028,   0.142
 1.030,   0.137
 1.032,   0.131
 1.034,   0.126
 1.036,   0.121
 1.038,   0.116
 1.040,   0.145
 1.042,   0.254
 1.044,   0.421
 1.046,   0.515
 1.048,   0.519
 1.050,   0.499
 1.052,   0.479
 1.054,   0.460
 1.056,   0.442
 1.058,   0.425
 1.060,   0.408
 1.062,   0.392
 1.064,   0.377
 1.066,   0.362
 1.068,   0.348
 1.070,   0.334
 1.072,   0.321
 1.074,   0.308
 1.076,   0.296
 1.078,   0.285
 1.080,   0.274
 1.082,   0.263
 1.084,   0.253
 1.086,   0.243
 1.088,   0.233
 1.090,   0.224
 1.092,   0.215
 1.094,   0.207
 1.096,   0.199
 1.098,   0.191
 1.100,   0.183
 1.102,   0.176
 1.104,   0.169
 1.106,   0.163
 1.108,   0.156
 1.110,   0.150
 1.112,   0.144
 1.114,   0.139
 1.116,   0.133
 1.118,   0.128
 1.120,   0.123
 1.122,   0.118
 1.124,   0.113
 1.126,   0.109
 1.128,   0.105
 1.130,   0.101
 1.132,   0.097
 1.134,   0.093
 1.136,   0.089
 1.138,   0.086
 1.140,   0.082
 1.142,   0.079
 1.144,   0.076
 1.146,   0.073
 1.148,   0.070
 1.150,   0.067
 1.152,   0.065
 1.154,   0.062
 1.156,   0.060
 1.158,   0.057
 1.160,   0.055
 1.162,   0.053
 1.164,   0.051
 1.166,   0.049
 1.168,   0.047
 1.170,   0.045
 1.172,   0.043
 1.174,   0.042
 1.176,   0.040
 1.178,   0.039
 1.180,   0.037
 1.182,   0.036
 1.184,   0.034
 1.186,   0.033
 1.188,   0.032
 1.190,   0.030
 1.192,   0.029
 1.194,   0.028
 1.196,   0.027
 1.198,   0.026
 1.200,   0.025
 1.202,   0.024
 1.204,   0.023
 1.206,   0.022
 1.208,   0.021
 1.210,   0.020
 1.212,   0.020
 1.214,   0.019
 1.216,   0.018
 1.218,   0.017
 1.220,   0.017
 1.222,   0.016
 1.224,   0.015
 1.226,   0.015
 1.228,   0.014
 1.230,   0.014
 1.232,   0.013
 1.234,   0.013
 1.236,   0.012
 1.238,   0.012
 1.240,   0.011
 1.242,   0.011
 1.244,   0.010
 1.246,   0.010
 1.248,   0.010
 1.250,   0.009
 1.252,   0.009
 1.254,   0.008
 1.256,   0.008
 1.258,   0.008
 1.260,   0.007
 1.262,   0.007
 1.264,   0.007
 1.266,   0.007
 1.268,   0.006
 1.270,   0.006
 1.272,   0.006
 1.274,   0.006
 1.276,   0.005
 1.278,   0.005
 1.280,   0.005
 1.282,   0.005
 1.284,   0.005
 1.286,   0.004
 1.288,   0.004
 1.290,   0.004
 1.292,   0.004
 1.294,   0.004
 1.296,   0.004
 1.298,   0.003
 1.300,   0.003
 1.302,   0.003
 1.304,   0.003
 1.306,   0.003
 1.308,   0.003
 1.310,   0.003
 1.312,   0.003
 1.314,   0.003
 1.316,   0.002
 1.318,   0.002
 1.320,   0.002
 1.322,   0.002
 1.324,   0.002
 1.326,   0.002
 1.328,   0.002
 1.330,   0.002
 1.332,   0.002
 1.334,   0.002
 1.336,   0.002
 1.338,   0.002
 1.340,   0.002
 1.342,   0.001
 1.344,   0.001
 1.346,   0.001
 1.348,   0.001
 1.350,   0.001
 1.352,   0.001
 1.354,   0.001
 1.356,   0.001
 1.358,   0.001
 1.360,   0.001
 1.362,   0.001
 1.364,   0.001
 1.366,   0.001
 1.368,   0.001
 1.370,   0.001
 1.372,   0.001
 1.374,   0.001
 1.376,   0.001
 1.378,   0.001
 1.380,   0.001
 1.382,   0.001
 1.384,   0.001
 1.386,   0.001
 1.388,   0.001
 1.390,   0.001
 1.392,   0.001
 1.394,   0.001
 1.396,   0.000
 1.398,   0.000
 1.400,   0.000
 1.402,   0.000
 1.404,   0.000
 1.406,   0.000
 1.408,   0.000
 1.410,   0.000
 1.412,   0.000
 1.414,   0.000
 1.416,   0.000
 1.418,   0.000
 1.420,   0.000
 1.422,   0.000
 1.424,   0.000
 1.426,   0.000
 1.428,   0.000
 1.430,   0.000
 1.432,   0.000
 1.434,   0.000
 1.436,   0.000
 1.438,   0.000
 1.440,   0.000
 1.442,   0.000
 1.444,   0.000
 1.446,   0.000
 1.448,   0.000
 1.450,   0.000
 1.452,   0.000
 1.454,   0.000
 1.456,   0.000
 1.458,   0.000
 1.460,   0.000
 1.462,   0.000
 1.464,   0.000
 1.466,   0.000
 1.468,   0.000
 1.470,   0.000
 1.472,   0.000
 1.474,   0.000
 1.476,   0.000
 1.478,   0.000
 1.480,   0.000
 1.482,   0.000
 1.484,   0.000
 1.486,   0.000
 1.488,   0.000
 1.490,   0.000
 1.492,   0.000
 1.494,   0.000
 1.496,   0.000
 1.498,   0.000
 1.500,   0.000
 1.502,   0.000
 1.504,   0.000
 1.506,   0.000
 1.508,   0.000
 1.510,   0.000
 1.512,   0.000
 1.514,   0.000
 1.516,   0.000
 1.518,   0.000
 1.520,   0.000
 1.522,   0.000
 1.524,   0.000
 1.526,   0.000
 1.528,   0.000
 1.530,   0.000
 1.532,   0.000
 1.534,   0.000
 1.536,   0.000
 1.538,   0.000
 1.540,   0.000
 1.542,   0.000
 1.544,   0.000
 1.546,   0.000
 1.548,   0.000
 1.550,   0.000
 1.552,   0.000
 1.554,   0.000
 1.556,   0.000
 1.558,   0.000
 1.560,   0.000
 1.562,   0.000
 1.564,   0.000
 1.566,   0.000
 1.568,   0.000
 1.570,   0.000
 1.572,   0.000
 1.574,   0.000
 1.576,   0.000
 1.578,   0.000
 1.580,   0.000
 1.582,   0.000
 1.584,   0.000
 1.586,   0.000
 1.588,   0.000
 1.590,   0.000
 1.592,   0.000
 1.594,   0.000
 1.596,   0.000
 1.598,   0.000
 1.600,   0.000
 1.602,   0.000
 1.604,   0.000
 1.606,   0.000
 1.608,   0.000
 1.610,   0.000
 1.612,   0.000
 1.614,   0.000
 1.616,   0.000
 1.618,   0.000
 1.620,   0.000
 1.622,   0.000
 1.624,   0.000
 1.626,   0.000
 1.628,   0.000
 1.630,   0.000
