Time(s),Length(m),[Calcium],Force(N)
 0.138,0.291301,0.999500,39.570588
 0.139,0.291321,0.999590,40.188403
 0.140,0.291341,0.999665,40.791184
 0.141,0.291360,0.999725,41.379605
 0.142,0.291379,0.999775,41.952578
 0.143,0.291397,0.999816,42.511546
 0.144,0.291415,0.999849,43.056998
 0.145,0.291433,0.999877,43.589281
 0.146,0.291450,0.999899,44.108734
 0.147,0.291467,0.999917,44.615608
 0.148,0.291483,0.999932,45.109301
 0.149,0.291499,0.999945,45.591151
 0.150,0.291514,0.999955,46.061460
 0.151,0.291529,0.999963,46.520524
 0.152,0.291544,0.999970,46.968632
 0.153,0.291558,0.999975,47.406002
 0.154,0.291572,0.999980,47.831881
 0.155,0.291586,0.999983,48.247644
 0.156,0.291599,0.999986,48.653546
 0.157,0.291612,0.999989,49.049838
 0.158,0.291625,0.999991,49.436765
 0.159,0.291638,0.999992,49.814759
 0.160,0.291650,0.999994,50.182474
 0.161,0.291661,0.999995,50.541522
 0.162,0.291673,0.999996,50.892140
 0.163,0.291684,0.999997,51.234538
 0.164,0.291695,0.999997,51.568925
 0.165,0.291706,0.999998,51.895502
 0.166,0.291716,0.999998,52.214401
 0.167,0.291727,0.999998,52.524690
 0.168,0.291737,0.999999,52.827769
 0.169,0.291746,0.999999,53.123815
 0.170,0.291756,0.999999,53.413002
 0.171,0.291765,0.999999,53.695502
 0.172,0.291774,0.999999,53.971481
 0.173,0.291783,1.000000,54.241363
 0.174,0.291792,1.000000,54.503635
 0.175,0.291800,1.000000,54.759731
 0.176,0.291808,1.000000,55.009959
 0.177,0.291816,1.000000,55.254458
 0.178,0.291824,1.000000,55.493369
 0.179,0.291832,1.000000,55.726829
 0.180,0.291839,1.000000,55.954972
 0.181,0.291847,1.000000,56.178611
 0.182,0.291854,1.000000,56.395154
 0.183,0.291861,1.000000,56.606797
 0.184,0.291868,1.000000,56.813659
 0.185,0.291874,1.000000,57.015855
 0.186,0.291881,1.000000,57.213493
 0.187,0.291887,1.000000,57.406683
 0.188,0.291893,1.000000,57.595530
 0.189,0.291899,1.000000,57.780142
 0.190,0.291905,1.000000,57.961263
 0.191,0.291911,1.000000,58.136319
 0.192,0.291917,1.000000,58.307475
 0.193,0.291922,1.000000,58.474824
 0.194,0.291928,1.000000,58.638458
 0.195,0.291933,1.000000,58.798466
 0.196,0.291938,1.000000,58.954933
 0.197,0.291943,1.000000,59.107940
 0.198,0.291948,1.000000,59.257566
 0.199,0.291953,1.000000,59.404289
 0.200,0.291957,1.000000,59.547926
 0.201,0.291962,1.000000,59.686453
 0.202,0.291966,1.000000,59.821947
 0.203,0.291971,1.000000,59.954479
 0.204,0.291975,1.000000,60.084120
 0.205,0.291979,1.000000,60.210937
 0.206,0.291983,1.000000,60.334996
 0.207,0.291987,1.000000,60.456361
 0.208,0.291991,1.000000,60.575095
 0.209,0.291995,1.000000,60.691260
 0.210,0.291999,1.000000,60.805256
 0.211,0.292003,1.000000,60.918286
 0.212,0.292006,1.000000,61.025614
 0.213,0.292009,1.000000,61.130615
 0.214,0.292013,1.000000,61.233365
 0.215,0.292016,1.000000,61.333915
 0.216,0.292019,1.000000,61.432316
 0.217,0.292023,1.000000,61.528616
 0.218,0.292026,1.000000,61.622863
 0.219,0.292029,1.000000,61.715105
 0.220,0.292032,1.000000,61.805386
 0.221,0.292035,1.000000,61.893752
 0.222,0.292037,1.000000,61.980246
 0.223,0.292040,1.000000,62.066054
 0.224,0.292043,1.000000,62.150736
 0.225,0.292046,1.000000,62.231792
 0.226,0.292048,1.000000,62.309668
 0.227,0.292051,1.000000,62.385921
 0.228,0.292053,1.000000,62.460586
 0.229,0.292056,1.000000,62.533699
 0.230,0.292058,1.000000,62.605293
 0.231,0.292060,1.000000,62.675393
 0.232,0.292063,1.000000,62.744034
 0.233,0.292065,1.000000,62.811246
 0.234,0.292067,1.000000,62.877063
 0.235,0.292069,1.000000,62.941513
 0.236,0.292071,1.000000,63.004628
 0.237,0.292073,1.000000,63.066436
 0.238,0.292075,1.000000,63.127245
 0.239,0.292077,1.000000,63.188365
 0.240,0.292079,1.000000,63.248194
 0.241,0.292081,1.000000,63.306764
 0.242,0.292083,1.000000,63.361509
 0.243,0.292085,1.000000,63.414432
 0.244,0.292086,1.000000,63.466286
 0.245,0.292088,1.000000,63.517094
 0.246,0.292090,1.000000,63.566879
 0.247,0.292091,1.000000,63.615661
 0.248,0.292093,1.000000,63.663463
 0.249,0.292094,1.000000,63.710305
 0.250,0.292096,1.000000,63.756207
 0.251,0.292097,1.000000,63.801190
 0.252,0.292099,1.000000,63.845273
 0.253,0.292100,1.000000,63.888476
 0.254,0.292102,1.000000,63.930816
 0.255,0.292103,1.000000,63.972312
 0.256,0.292104,1.000000,64.012982
 0.257,0.292106,1.000000,64.052843
 0.258,0.292107,1.000000,64.091912
 0.259,0.292108,1.000000,64.130669
 0.260,0.292109,1.000000,64.170023
 0.261,0.292111,1.000000,64.208556
 0.262,0.292112,1.000000,64.246288
 0.263,0.292113,1.000000,64.283235
 0.264,0.292114,1.000000,64.319416
 0.265,0.292115,1.000000,64.351708
 0.266,0.292116,1.000000,64.383206
 0.267,0.292117,1.000000,64.414095
 0.268,0.292118,1.000000,64.444388
 0.269,0.292119,1.000000,64.474096
 0.270,0.292120,1.000000,64.503231
 0.271,0.292121,1.000000,64.531804
 0.272,0.292122,1.000000,64.559827
 0.273,0.292123,1.000000,64.587311
 0.274,0.292124,1.000000,64.614265
 0.275,0.292125,1.000000,64.640702
 0.276,0.292126,1.000000,64.666630
 0.277,0.292127,1.000000,64.692059
 0.278,0.292127,1.000000,64.717001
 0.279,0.292128,1.000000,64.741464
 0.280,0.292129,1.000000,64.765458
 0.281,0.292130,1.000000,64.788992
 0.282,0.292130,1.000000,64.812076
 0.283,0.292131,1.000000,64.834718
 0.284,0.292132,1.000000,64.856926
