Frame,AANK,WANK,RJM,RJFS,RJFC,WFOOT,WLEG
102,29.96,18.25,50.89,44.87,463.53,25.13,-43.38
103,30.13,14.76,54.02,51.05,491.19,18.29,-33.05
104,30.21,2.14,56.91,59.96,517.78,20.58,-22.72
105,30.17,-8.95,59.58,65.44,544.09,20.59,-11.64
106,30.06,-24.42,62,70.18,566.35,25.19,-0.77
107,29.76,-43.7,63.94,78.21,584.52,34.37,9.33
108,29.33,-59.32,65.79,82.71,599.34,39.13,20.19
109,28.77,-79.71,67.58,89.47,612.32,48.45,31.26
110,28,-101.45,68.94,94.86,621.72,59.9,41.55
111,27.08,-121.37,69.79,103.37,625.94,68.96,52.4
112,25.98,-143.71,70.12,111.86,626.28,78.14,65.57
113,24.69,-168.41,70.08,121.11,622.04,89.65,78.76
114,23.17,-190.74,69.62,131.84,617.82,98.8,91.95
115,21.51,-217.54,68.89,143.85,610.93,110.29,107.25
116,19.55,-254.49,67.64,157.08,600.69,128.7,125.79
117,17.27,-296.68,66.05,169.53,587.58,149.36,147.32
118,14.6,-348.97,63.77,188.85,572.23,174.99,173.98
119,11.45,-413.61,60.74,204.40,547.94,207.45,206.17
120,7.71,-489.99,56.54,226.40,516.82,247.21,242.78
121,3.28,-590.62,51.1,242.88,473.11,302.19,288.44
122,-2.13,-723.07,43.51,256.19,409.64,373.05,350.02
123,-8.77,-871.32,33.84,252.80,326.28,442.26,429.06
124,-16.66,-978.73,22.32,219.16,222.34,469.6,509.13
125,-25.08,-958.63,11.61,148.65,123.35,404.55,554.08
126,-32.63,-767.86,4.43,62.95,53.91,244.68,523.18
127,-37.88,-455.84,1.62,-0.73,22.22,58.53,397.31
128,-40.23,-172.83,1.74,-30.06,13.71,-33.48,206.31
129,-40.76,-55.04,3.55,-25.84,23.95,28.09,26.95
130,-41.15,-86.6,3.34,-23.34,20.28,164.43,-77.84
131,-42.2,-140.06,1.05,-14.32,7.01,240.93,-100.87
132,-43.48,-134.24,-1.4,3.15,-8.11,203.35,-69.1
133,-44.44,-97.83,-2.47,16.34,-18.20,112.24,-14.41
134,-45.11,-57.02,-2.56,19.16,-19.57,22.58,34.44
135,-45.39,-11.8,-1.8,13.74,-13.88,-50.38,62.18
136,-45.31,21.91,-0.8,7.27,-7.02,-88.93,67.01
137,-45.02,37.49,0.15,-0.29,0.16,-90.18,52.7
138,-44.69,36.32,0.78,-6.31,6.00,-70.82,34.5
139,-44.42,21.41,0.82,-6.18,6.36,-45.36,23.94
140,-44.33,-3.64,0.82,-7.34,7.12,-23.17,26.81
141,-44.48,-25.53,0.44,-1.94,4.35,-8.02,33.55
142,-44.75,-26.59,-0.06,-0.51,0.95,-8.87,35.46
143,-44.92,-15.42,-0.28,2.47,-2.66,-18.13,33.55
144,-45.01,0.74,-0.31,1.86,-1.60,-28.63,27.89
145,-44.91,18.1,-0.18,1.38,-1.04,-41.22,23.12
146,-44.71,23.93,0.11,0.93,1.70,-43.17,19.24
147,-44.51,27.81,0.32,-4.82,2.74,-41.32,13.51
148,-44.25,28.58,0.59,-4.36,5.13,-34.38,5.8
149,-44.04,20.66,0.66,-5.19,5.82,-19.78,-0.88
150,-43.9,18.98,0.54,-4.76,5.29,-9.43,-9.55
151,-43.72,17.61,0.61,-4.64,5.95,-1.3,-16.31
152,-43.61,15.92,0.3,-2.27,2.95,6.05,-21.97
153,-43.45,18.56,0.28,-1.66,3.39,9.23,-27.78
154,-43.3,23.4,0.04,-0.14,1.10,8.27,-31.68
155,-43.06,28.16,0.08,-0.71,0.86,6.39,-34.55
156,-42.83,28.01,0.22,-1.43,2.21,8.45,-36.46
157,-42.6,28.77,0.05,-1.41,0.02,10.52,-39.29
158,-42.35,26.72,0.12,-0.64,1.22,11.66,-38.38
159,-42.15,24.67,0.01,-0.52,-0.39,13.72,-38.38
160,-41.94,30.08,-0.15,-1.10,-1.18,8.23,-38.31
161,-41.65,32.53,-0.1,1.88,-0.89,2.97,-35.5
162,-41.4,33.95,-0.29,0.58,-2.58,-2.29,-31.66
