Time(s),Force(N)
 0.636,   1.593
 0.638,   1.593
 0.640,   1.513
 0.642,   1.416
 0.644,   1.324
 0.646,   1.239
 0.648,   1.159
 0.650,   1.084
 0.652,   1.022
 0.654,   1.059
 0.656,   1.394
 0.658,   1.622
 0.660,   1.586
 0.662,   1.493
 0.664,   1.397
 0.666,   1.307
 0.668,   1.223
 0.670,   1.144
 0.672,   1.070
 0.674,   1.043
 0.676,   1.255
 0.678,   1.606
 0.680,   1.617
 0.682,   1.540
 0.684,   1.441
 0.686,   1.348
 0.688,   1.261
 0.690,   1.180
 0.692,   1.104
 0.694,   1.068
 0.696,   1.248
 0.698,   1.606
 0.700,   1.630
 0.702,   1.557
 0.704,   1.457
 0.706,   1.363
 0.708,   1.275
 0.710,   1.193
 0.712,   1.117
 0.714,   1.099
 0.716,   1.340
 0.718,   1.645
 0.720,   1.629
 0.722,   1.544
 0.724,   1.444
 0.726,   1.351
 0.728,   1.264
 0.730,   1.183
 0.732,   1.122
 0.734,   1.190
 0.736,   1.546
 0.738,   1.659
 0.740,   1.606
 0.742,   1.506
 0.744,   1.408
 0.746,   1.318
 0.748,   1.233
 0.750,   1.158
 0.752,   1.158
 0.754,   1.436
 0.756,   1.671
 0.758,   1.637
 0.760,   1.544
 0.762,   1.444
 0.764,   1.351
 0.766,   1.264
 0.768,   1.186
 0.770,   1.170
 0.772,   1.417
 0.774,   1.679
 0.776,   1.651
 0.778,   1.560
 0.780,   1.459
 0.782,   1.365
 0.784,   1.277
 0.786,   1.201
 0.788,   1.201
 0.790,   1.480
 0.792,   1.688
 0.794,   1.650
 0.796,   1.554
 0.798,   1.454
 0.800,   1.360
 0.802,   1.272
 0.804,   1.210
 0.806,   1.272
 0.808,   1.611
 0.810,   1.692
 0.812,   1.632
 0.814,   1.529
 0.816,   1.430
 0.818,   1.338
 0.820,   1.254
 0.822,   1.225
 0.824,   1.432
 0.826,   1.702
 0.828,   1.678
 0.830,   1.588
 0.832,   1.486
 0.834,   1.390
 0.836,   1.300
 0.838,   1.245
 0.840,   1.340
 0.842,   1.670
 0.844,   1.702
 0.846,   1.631
 0.848,   1.526
 0.850,   1.428
 0.852,   1.336
 0.854,   1.268
 0.856,   1.314
 0.858,   1.637
 0.860,   1.715
 0.862,   1.655
 0.864,   1.551
 0.866,   1.451
 0.868,   1.357
 0.870,   1.287
 0.872,   1.323
 0.874,   1.639
 0.876,   1.723
 0.878,   1.664
 0.880,   1.560
 0.882,   1.459
 0.884,   1.365
 0.886,   1.300
 0.888,   1.360
 0.890,   1.679
 0.892,   1.726
 0.894,   1.660
 0.896,   1.554
 0.898,   1.453
 0.900,   1.360
 0.902,   1.312
 0.904,   1.436
 0.906,   1.729
 0.908,   1.722
 0.910,   1.639
 0.912,   1.534
 0.914,   1.435
 0.916,   1.349
 0.918,   1.333
 0.920,   1.577
 0.922,   1.748
 0.924,   1.705
 0.926,   1.604
 0.928,   1.501
 0.930,   1.404
 0.932,   1.345
 0.934,   1.427
 0.936,   1.728
 0.938,   1.741
 0.940,   1.664
 0.942,   1.557
 0.944,   1.457
 0.946,   1.374
 0.948,   1.371
 0.950,   1.641
 0.952,   1.760
 0.954,   1.708
 0.956,   1.603
 0.958,   1.500
 0.960,   1.406
 0.962,   1.370
 0.964,   1.550
 0.966,   1.769
 0.968,   1.735
 0.970,   1.638
 0.972,   1.533
 0.974,   1.435
 0.976,   1.386
 0.978,   1.507
 0.980,   1.770
 0.982,   1.750
 0.984,   1.662
 0.986,   1.555
 0.988,   1.455
 0.990,   1.400
 0.992,   1.500
 0.994,   1.772
 0.996,   1.759
 0.998,   1.674
 1.000,   1.566
 1.002,   1.466
 1.004,   1.412
 1.006,   1.518
 1.008,   1.780
 1.010,   1.763
 1.012,   1.676
 1.014,   1.567
 1.016,   1.468
 1.018,   1.424
 1.020,   1.564
