Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   1.272
 0.104,   4.571
 0.106,   8.638
 0.108,   9.742
 0.110,   9.446
 0.112,   8.890
 0.114,   8.368
 0.116,   7.878
 0.118,   7.417
 0.120,   6.984
 0.122,   6.577
 0.124,   6.195
 0.126,   5.836
 0.128,   5.498
 0.130,   5.181
 0.132,   4.882
 0.134,   4.602
 0.136,   4.338
 0.138,   4.090
 0.140,   3.857
 0.142,   3.637
 0.144,   3.431
 0.146,   3.237
 0.148,   3.054
 0.150,   2.882
 0.152,   2.720
 0.154,   2.568
 0.156,   2.424
 0.158,   2.289
 0.160,   2.162
 0.162,   2.042
 0.164,   1.929
 0.166,   1.823
 0.168,   2.091
 0.170,   4.423
 0.172,   8.399
 0.174,  10.354
 0.176,  10.235
 0.178,   9.666
 0.180,   9.104
 0.182,   8.576
 0.184,   8.079
 0.186,   7.612
 0.188,   7.173
 0.190,   6.761
 0.192,   6.373
 0.194,   6.008
 0.196,   5.665
 0.198,   5.342
 0.200,   5.039
 0.202,   4.753
 0.204,   4.485
 0.206,   4.232
 0.208,   3.994
 0.210,   3.770
 0.212,   3.559
 0.214,   3.360
 0.216,   3.173
 0.218,   3.013
 0.220,   4.102
 0.222,   7.269
 0.224,  10.469
 0.226,  10.816
 0.228,  10.335
 0.230,   9.737
 0.232,   9.174
 0.234,   8.646
 0.236,   8.148
 0.238,   7.681
 0.240,   7.241
 0.242,   6.828
 0.244,   6.439
 0.246,   6.073
 0.248,   5.729
 0.250,   5.405
 0.252,   5.101
 0.254,   4.814
 0.256,   4.544
 0.258,   4.290
 0.260,   4.050
 0.262,   4.055
 0.264,   5.998
 0.266,   9.643
 0.268,  11.196
 0.270,  10.981
 0.272,  10.367
 0.274,   9.770
 0.276,   9.208
 0.278,   8.680
 0.280,   8.183
 0.282,   7.716
 0.284,   7.277
 0.286,   6.863
 0.288,   6.475
 0.290,   6.109
 0.292,   5.764
 0.294,   5.440
 0.296,   5.135
 0.298,   4.848
 0.300,   4.720
 0.302,   6.359
 0.304,   9.849
 0.306,  11.488
 0.308,  11.287
 0.310,  10.666
 0.312,  10.053
 0.314,   9.477
 0.316,   8.935
 0.318,   8.425
 0.320,   7.945
 0.322,   7.494
 0.324,   7.070
 0.326,   6.671
 0.328,   6.295
 0.330,   5.941
 0.332,   5.608
 0.334,   5.330
 0.336,   6.133
 0.338,   9.066
 0.340,  11.618
 0.342,  11.652
 0.344,  11.086
 0.346,  10.450
 0.348,   9.851
 0.350,   9.289
 0.352,   8.760
 0.354,   8.262
 0.356,   7.794
 0.358,   7.353
 0.360,   6.938
 0.362,   6.548
 0.364,   6.181
 0.366,   5.878
 0.368,   6.641
 0.370,   9.539
 0.372,  11.895
 0.374,  11.860
 0.376,  11.269
 0.378,  10.624
 0.380,  10.017
 0.382,   9.446
 0.384,   8.909
 0.386,   8.404
 0.388,   7.928
 0.390,   7.481
 0.392,   7.060
 0.394,   6.664
 0.396,   6.359
 0.398,   7.224
 0.400,  10.213
 0.402,  12.158
 0.404,  12.011
 0.406,  11.385
 0.408,  10.734
 0.410,  10.122
 0.412,   9.546
 0.414,   9.005
 0.416,   8.495
 0.418,   8.015
 0.420,   7.564
 0.422,   7.139
 0.424,   6.801
 0.426,   7.516
 0.428,  10.372
 0.430,  12.343
 0.432,  12.200
 0.434,  11.571
 0.436,  10.910
 0.438,  10.289
 0.440,   9.705
 0.442,   9.155
 0.444,   8.637
 0.446,   8.150
 0.448,   7.692
 0.450,   7.270
 0.452,   7.408
 0.454,   9.602
 0.456,  12.315
 0.458,  12.476
 0.460,  11.932
 0.462,  11.251
 0.464,  10.610
 0.466,  10.008
 0.468,   9.441
 0.470,   8.908
 0.472,   8.406
 0.474,   7.934
 0.476,   7.561
 0.478,   8.192
 0.480,  10.965
 0.482,  12.694
 0.484,  12.499
 0.486,  11.844
 0.488,  11.170
 0.490,  10.535
 0.492,   9.938
 0.494,   9.376
 0.496,   8.848
 0.498,   8.350
 0.500,   7.924
 0.502,   8.271
 0.504,  10.742
 0.506,  12.816
 0.508,  12.696
 0.510,  12.064
 0.512,  11.378
 0.514,  10.732
 0.516,  10.124
 0.518,   9.552
 0.520,   9.014
 0.522,   8.508
 0.524,   8.182
 0.526,   9.157
 0.528,  12.054
 0.530,  13.001
 0.532,  12.646
 0.534,  11.941
 0.536,  11.262
 0.538,  10.624
 0.540,  10.024
 0.542,   9.459
 0.544,   8.927
 0.546,   8.503
 0.548,   8.980
 0.550,  11.596
 0.552,  13.133
 0.554,  12.896
 0.556,  12.216
 0.558,  11.522
 0.560,  10.869
 0.562,  10.255
 0.564,   9.677
 0.566,   9.133
 0.568,   8.752
 0.570,   9.486
 0.572,  12.245
 0.574,  13.265
 0.576,  12.924
 0.578,  12.212
 0.580,  11.519
 0.582,  10.867
 0.584,  10.254
 0.586,   9.677
 0.588,   9.146
 0.590,   9.071
 0.592,  10.894
 0.594,  13.255
 0.596,  13.273
 0.598,  12.677
 0.600,  11.958
 0.602,  11.281
 0.604,  10.644
 0.606,  10.045
 0.608,   9.481
 0.610,   9.234
 0.612,  10.591
 0.614,  13.188
 0.616,  13.442
 0.618,  12.917
