Time(s),Length(m),[Calcium],Force(N)
 0.138,0.253023,0.999500,91.965947
 0.139,0.253055,0.999590,92.927303
 0.140,0.253085,0.999665,93.850149
 0.141,0.253114,0.999725,94.727374
 0.142,0.253141,0.999775,95.566545
 0.143,0.253168,0.999816,96.372424
 0.144,0.253193,0.999849,97.146400
 0.145,0.253218,0.999877,97.889817
 0.146,0.253241,0.999899,98.603948
 0.147,0.253264,0.999917,99.289999
 0.148,0.253286,0.999932,99.949486
 0.149,0.253306,0.999945,100.586337
 0.150,0.253326,0.999955,101.186026
 0.151,0.253345,0.999963,101.762479
 0.152,0.253363,0.999970,102.316632
 0.153,0.253381,0.999975,102.849395
 0.154,0.253398,0.999980,103.361623
 0.155,0.253414,0.999983,103.854160
 0.156,0.253429,0.999986,104.327818
 0.157,0.253444,0.999989,104.783362
 0.158,0.253459,0.999991,105.221500
 0.159,0.253473,0.999992,105.637232
 0.160,0.253486,0.999994,106.033898
 0.161,0.253498,0.999995,106.415702
 0.162,0.253510,0.999996,106.783177
 0.163,0.253522,0.999997,107.136869
 0.164,0.253533,0.999997,107.477330
 0.165,0.253544,0.999998,107.805090
 0.166,0.253554,0.999998,108.120659
 0.167,0.253564,0.999998,108.424521
 0.168,0.253574,0.999999,108.717113
 0.169,0.253583,0.999999,108.998862
 0.170,0.253592,0.999999,109.266309
 0.171,0.253600,0.999999,109.514490
 0.172,0.253608,0.999999,109.756382
 0.173,0.253616,1.000000,109.991118
 0.174,0.253623,1.000000,110.217403
 0.175,0.253630,1.000000,110.435525
 0.176,0.253637,1.000000,110.645786
 0.177,0.253644,1.000000,110.848487
 0.178,0.253650,1.000000,111.043920
 0.179,0.253656,1.000000,111.232364
 0.180,0.253662,1.000000,111.414086
 0.181,0.253668,1.000000,111.589343
 0.182,0.253674,1.000000,111.758381
 0.183,0.253679,1.000000,111.921434
 0.184,0.253684,1.000000,112.073365
 0.185,0.253689,1.000000,112.211754
 0.186,0.253693,1.000000,112.345514
 0.187,0.253697,1.000000,112.477279
 0.188,0.253702,1.000000,112.606282
 0.189,0.253706,1.000000,112.730880
 0.190,0.253710,1.000000,112.851233
 0.191,0.253713,1.000000,112.967495
 0.192,0.253717,1.000000,113.079814
 0.193,0.253721,1.000000,113.188331
 0.194,0.253724,1.000000,113.293185
 0.195,0.253727,1.000000,113.394506
 0.196,0.253731,1.000000,113.492382
 0.197,0.253734,1.000000,113.586920
 0.198,0.253737,1.000000,113.678237
 0.199,0.253740,1.000000,113.766450
 0.200,0.253743,1.000000,113.851671
 0.201,0.253745,1.000000,113.934006
 0.202,0.253748,1.000000,114.013558
 0.203,0.253750,1.000000,114.088744
 0.204,0.253752,1.000000,114.149449
 0.205,0.253754,1.000000,114.208437
 0.206,0.253756,1.000000,114.265752
 0.207,0.253758,1.000000,114.321441
 0.208,0.253760,1.000000,114.377186
 0.209,0.253762,1.000000,114.433827
 0.210,0.253763,1.000000,114.488717
 0.211,0.253765,1.000000,114.541912
 0.212,0.253767,1.000000,114.593466
 0.213,0.253769,1.000000,114.643431
 0.214,0.253770,1.000000,114.691857
 0.215,0.253772,1.000000,114.738796
 0.216,0.253773,1.000000,114.784263
 0.217,0.253775,1.000000,114.828275
 0.218,0.253776,1.000000,114.870880
 0.219,0.253777,1.000000,114.912122
 0.220,0.253779,1.000000,114.952047
 0.221,0.253780,1.000000,114.990696
 0.222,0.253781,1.000000,115.028111
 0.223,0.253782,1.000000,115.064332
 0.224,0.253784,1.000000,115.099398
 0.225,0.253785,1.000000,115.133347
 0.226,0.253786,1.000000,115.166214
 0.227,0.253787,1.000000,115.198036
 0.228,0.253788,1.000000,115.228846
 0.229,0.253789,1.000000,115.258678
 0.230,0.253790,1.000000,115.287563
 0.231,0.253791,1.000000,115.315532
 0.232,0.253792,1.000000,115.342615
 0.233,0.253792,1.000000,115.368842
 0.234,0.253793,1.000000,115.394239
 0.235,0.253794,1.000000,115.418835
 0.236,0.253795,1.000000,115.442655
 0.237,0.253796,1.000000,115.465724
 0.238,0.253796,1.000000,115.488069
 0.239,0.253797,1.000000,115.509711
 0.240,0.253798,1.000000,115.530674
 0.241,0.253798,1.000000,115.543794
 0.242,0.253798,1.000000,115.550186
 0.243,0.253799,1.000000,115.556732
 0.244,0.253799,1.000000,115.563409
 0.245,0.253799,1.000000,115.570195
 0.246,0.253799,1.000000,115.577070
 0.247,0.253799,1.000000,115.584018
 0.248,0.253800,1.000000,115.591020
 0.249,0.253800,1.000000,115.598062
 0.250,0.253800,1.000000,115.605129
 0.251,0.253801,1.000000,115.616085
 0.252,0.253801,1.000000,115.627083
 0.253,0.253801,1.000000,115.637825
 0.254,0.253802,1.000000,115.648316
 0.255,0.253802,1.000000,115.658560
 0.256,0.253802,1.000000,115.668562
 0.257,0.253803,1.000000,115.678326
 0.258,0.253803,1.000000,115.687858
 0.259,0.253803,1.000000,115.697160
 0.260,0.253803,1.000000,115.706239
 0.261,0.253804,1.000000,115.715098
 0.262,0.253804,1.000000,115.723743
 0.263,0.253804,1.000000,115.732177
 0.264,0.253805,1.000000,115.740405
 0.265,0.253805,1.000000,115.748431
 0.266,0.253805,1.000000,115.756261
 0.267,0.253805,1.000000,115.763897
 0.268,0.253806,1.000000,115.771345
 0.269,0.253806,1.000000,115.778609
 0.270,0.253806,1.000000,115.785693
 0.271,0.253806,1.000000,115.792600
 0.272,0.253807,1.000000,115.799336
 0.273,0.253807,1.000000,115.805904
 0.274,0.253807,1.000000,115.812304
 0.275,0.253807,1.000000,115.818518
 0.276,0.253807,1.000000,115.824549
 0.277,0.253808,1.000000,115.830401
 0.278,0.253808,1.000000,115.836080
 0.279,0.253808,1.000000,115.841589
