Time(s),Length(m),[Calcium],Force(N)
 0.276,0.272903,1.000000,88.298967
 0.278,0.272903,1.000000,88.322276
 0.280,0.272904,1.000000,88.344769
 0.282,0.272905,1.000000,88.366471
 0.284,0.272905,1.000000,88.387407
 0.286,0.272906,1.000000,88.407603
 0.288,0.272907,1.000000,88.427083
 0.290,0.272907,1.000000,88.445869
 0.292,0.272908,1.000000,88.463984
 0.294,0.272909,1.000000,88.481451
 0.296,0.272909,1.000000,88.498292
 0.298,0.272910,1.000000,88.515217
 0.300,0.272910,1.000000,88.535638
 0.302,0.272911,1.000000,88.555136
 0.304,0.272912,1.000000,88.573755
 0.306,0.272912,1.000000,88.591537
 0.308,0.272913,1.000000,88.608523
 0.310,0.272913,1.000000,88.624751
 0.312,0.272914,1.000000,88.640257
 0.314,0.272914,1.000000,88.655074
 0.316,0.272915,1.000000,88.669237
 0.318,0.272915,1.000000,88.682775
 0.320,0.272916,1.000000,88.695718
 0.322,0.272916,1.000000,88.708094
 0.324,0.272916,1.000000,88.719930
 0.326,0.272917,1.000000,88.731251
 0.328,0.272917,1.000000,88.742081
 0.330,0.272917,1.000000,88.752443
 0.332,0.272918,1.000000,88.762358
 0.334,0.272918,1.000000,88.771847
 0.336,0.272918,1.000000,88.780929
 0.338,0.272919,1.000000,88.789624
 0.340,0.272919,1.000000,88.797949
 0.342,0.272919,1.000000,88.805921
 0.344,0.272919,1.000000,88.813556
 0.346,0.272920,1.000000,88.820869
 0.348,0.272920,1.000000,88.827876
 0.350,0.272920,1.000000,88.834589
 0.352,0.272920,1.000000,88.841021
 0.354,0.272921,1.000000,88.847187
 0.356,0.272921,1.000000,88.853096
 0.358,0.272921,1.000000,88.858762
 0.360,0.272921,1.000000,88.864194
 0.362,0.272921,1.000000,88.869404
 0.364,0.272921,1.000000,88.874400
 0.366,0.272922,1.000000,88.879193
 0.368,0.272922,1.000000,88.883790
 0.370,0.272922,1.000000,88.888202
 0.372,0.272922,1.000000,88.892436
 0.374,0.272922,1.000000,88.896499
 0.376,0.272922,1.000000,88.900399
 0.378,0.272922,1.000000,88.904143
 0.380,0.272923,1.000000,88.907739
 0.382,0.272923,1.000000,88.911191
 0.384,0.272923,1.000000,88.914507
 0.386,0.272923,1.000000,88.917692
 0.388,0.272923,1.000000,88.920752
 0.390,0.272923,1.000000,88.923692
 0.392,0.272923,1.000000,88.926517
 0.394,0.272923,1.000000,88.929233
 0.396,0.272923,1.000000,88.931843
 0.398,0.272923,1.000000,88.934352
 0.400,0.272925,1.000000,88.965321
 0.402,0.272789,1.000000,86.491273
 0.404,0.272657,1.000000,84.191164
 0.406,0.272532,1.000000,82.064149
 0.408,0.272412,1.000000,80.095899
 0.410,0.272296,1.000000,78.273221
 0.412,0.272185,1.000000,76.584716
 0.414,0.272078,1.000000,75.019596
 0.416,0.271975,1.000000,73.568496
 0.418,0.271875,1.000000,72.222458
 0.420,0.271778,1.000000,70.973537
 0.422,0.271685,1.000000,69.814817
 0.424,0.271594,1.000000,68.739383
 0.426,0.271506,1.000000,67.741528
 0.428,0.271420,1.000000,66.815729
 0.430,0.271336,1.000000,65.956947
 0.432,0.271254,1.000000,65.160622
 0.434,0.271174,1.000000,64.422491
 0.436,0.271096,1.000000,63.738641
 0.438,0.271020,1.000000,63.105495
 0.440,0.270945,1.000000,62.519719
 0.442,0.270872,1.000000,61.978145
 0.444,0.270800,1.000000,61.477776
 0.446,0.270729,1.000000,61.015856
 0.448,0.270659,1.000000,60.589810
 0.450,0.270591,1.000000,60.197807
 0.452,0.270523,1.000000,59.836194
 0.454,0.270457,1.000000,59.504636
 0.456,0.270391,1.000000,59.199866
 0.458,0.270327,1.000000,58.919810
 0.460,0.270263,1.000000,58.663528
 0.462,0.270199,1.000000,58.429278
 0.464,0.270137,1.000000,58.215469
 0.466,0.270075,1.000000,58.020592
 0.468,0.270013,1.000000,57.843265
 0.470,0.269953,1.000000,57.682160
 0.472,0.269892,1.000000,57.536104
 0.474,0.269832,1.000000,57.403958
 0.476,0.269773,1.000000,57.284654
 0.478,0.269714,1.000000,57.177224
 0.480,0.269655,1.000000,57.081085
 0.482,0.269597,1.000000,56.995683
