Frame,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
246,0.2491,0.0857,0.1837,0.0361,0.3286,0.062
247,0.2487,0.086,0.1837,0.036,0.3285,0.0621
248,0.2483,0.0863,0.1836,0.036,0.3284,0.0621
249,0.248,0.0866,0.1835,0.0359,0.3284,0.0622
250,0.2476,0.0869,0.1835,0.0359,0.3283,0.0623
251,0.2473,0.0872,0.1835,0.0359,0.3283,0.0624
252,0.2469,0.0875,0.1835,0.0359,0.3283,0.0625
253,0.2466,0.0879,0.1835,0.0359,0.3283,0.0626
254,0.2462,0.0882,0.1834,0.0359,0.3282,0.0626
255,0.2458,0.0886,0.1833,0.0359,0.3281,0.0627
256,0.2455,0.0889,0.1832,0.0358,0.328,0.0627
257,0.2451,0.0892,0.1832,0.0358,0.328,0.0627
258,0.2447,0.0896,0.1832,0.0358,0.328,0.0628
259,0.2443,0.09,0.1832,0.0359,0.328,0.0629
260,0.244,0.0904,0.1832,0.0359,0.328,0.063
261,0.2436,0.0908,0.1831,0.0359,0.3279,0.0631
262,0.2434,0.0911,0.1831,0.0358,0.3279,0.0631
263,0.2432,0.0914,0.183,0.0358,0.3278,0.0631
264,0.243,0.0916,0.1829,0.0357,0.3277,0.0632
265,0.2427,0.0919,0.1828,0.0358,0.3276,0.0633
266,0.2424,0.0921,0.1828,0.0358,0.3276,0.0634
267,0.2421,0.0923,0.1828,0.0358,0.3276,0.0635
268,0.2419,0.0925,0.1828,0.0358,0.3275,0.0635
269,0.2417,0.0926,0.1827,0.0357,0.3275,0.0636
270,0.2415,0.0927,0.1827,0.0356,0.3274,0.0636
271,0.2414,0.0928,0.1827,0.0356,0.3274,0.0637
272,0.2413,0.0928,0.1826,0.0355,0.3273,0.0637
273,0.2411,0.0928,0.1826,0.0354,0.3273,0.0637
274,0.241,0.0928,0.1825,0.0353,0.3272,0.0637
275,0.2409,0.0927,0.1825,0.0352,0.3271,0.0636
276,0.2408,0.0926,0.1825,0.0351,0.3271,0.0636
277,0.2407,0.0925,0.1825,0.035,0.3271,0.0636
278,0.2407,0.0924,0.1825,0.0349,0.3271,0.0636
279,0.2406,0.0923,0.1825,0.0349,0.3271,0.0636
280,0.2406,0.0922,0.1824,0.0348,0.327,0.0636
281,0.2406,0.0921,0.1824,0.0348,0.3269,0.0636
282,0.2406,0.092,0.1823,0.0347,0.3269,0.0636
283,0.2406,0.0919,0.1823,0.0346,0.3268,0.0635
284,0.2405,0.0919,0.1823,0.0346,0.3268,0.0635
285,0.2404,0.0918,0.1823,0.0346,0.3268,0.0635
286,0.2403,0.0918,0.1823,0.0346,0.3268,0.0635
287,0.2402,0.0917,0.1823,0.0346,0.3268,0.0635
288,0.24,0.0916,0.1823,0.0347,0.3268,0.0635
