Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   0.026
 0.104,   0.098
 0.106,   0.198
 0.108,   0.248
 0.110,   0.248
 0.112,   0.238
 0.114,   0.229
 0.116,   0.220
 0.118,   0.211
 0.120,   0.203
 0.122,   0.195
 0.124,   0.188
 0.126,   0.180
 0.128,   0.173
 0.130,   0.166
 0.132,   0.160
 0.134,   0.154
 0.136,   0.148
 0.138,   0.142
 0.140,   0.136
 0.142,   0.131
 0.144,   0.126
 0.146,   0.121
 0.148,   0.116
 0.150,   0.112
 0.152,   0.107
 0.154,   0.103
 0.156,   0.099
 0.158,   0.095
 0.160,   0.091
 0.162,   0.088
 0.164,   0.084
 0.166,   0.081
 0.168,   0.078
 0.170,   0.075
 0.172,   0.072
 0.174,   0.069
 0.176,   0.066
 0.178,   0.064
 0.180,   0.061
 0.182,   0.059
 0.184,   0.056
 0.186,   0.054
 0.188,   0.052
 0.190,   0.050
 0.192,   0.048
 0.194,   0.046
 0.196,   0.044
 0.198,   0.043
 0.200,   0.041
 0.202,   0.039
 0.204,   0.038
 0.206,   0.036
 0.208,   0.056
 0.210,   0.122
 0.212,   0.219
 0.214,   0.268
 0.216,   0.269
 0.218,   0.258
 0.220,   0.248
 0.222,   0.238
 0.224,   0.229
 0.226,   0.220
 0.228,   0.211
 0.230,   0.203
 0.232,   0.195
 0.234,   0.187
 0.236,   0.180
 0.238,   0.173
 0.240,   0.166
 0.242,   0.160
 0.244,   0.153
 0.246,   0.147
 0.248,   0.142
 0.250,   0.136
 0.252,   0.131
 0.254,   0.126
 0.256,   0.121
 0.258,   0.116
 0.260,   0.111
 0.262,   0.107
 0.264,   0.103
 0.266,   0.099
 0.268,   0.127
 0.270,   0.201
 0.272,   0.284
 0.274,   0.308
 0.276,   0.300
 0.278,   0.288
 0.280,   0.277
 0.282,   0.266
 0.284,   0.256
 0.286,   0.246
 0.288,   0.236
 0.290,   0.227
 0.292,   0.218
 0.294,   0.209
 0.296,   0.201
 0.298,   0.193
 0.300,   0.186
 0.302,   0.178
 0.304,   0.171
 0.306,   0.165
 0.308,   0.158
 0.310,   0.152
 0.312,   0.146
 0.314,   0.143
 0.316,   0.174
 0.318,   0.252
 0.320,   0.321
 0.322,   0.333
 0.324,   0.322
 0.326,   0.309
 0.328,   0.297
 0.330,   0.285
 0.332,   0.274
 0.334,   0.263
 0.336,   0.253
 0.338,   0.243
 0.340,   0.234
 0.342,   0.225
 0.344,   0.216
 0.346,   0.207
 0.348,   0.199
 0.350,   0.191
 0.352,   0.184
 0.354,   0.177
 0.356,   0.181
 0.358,   0.231
 0.360,   0.315
 0.362,   0.353
 0.364,   0.348
 0.366,   0.334
 0.368,   0.321
 0.370,   0.309
 0.372,   0.297
 0.374,   0.285
 0.376,   0.274
 0.378,   0.263
 0.380,   0.253
 0.382,   0.243
 0.384,   0.233
 0.386,   0.224
 0.388,   0.215
 0.390,   0.207
 0.392,   0.201
 0.394,   0.230
 0.396,   0.305
 0.398,   0.363
 0.400,   0.368
 0.402,   0.355
 0.404,   0.341
 0.406,   0.328
 0.408,   0.315
 0.410,   0.303
 0.412,   0.291
 0.414,   0.279
 0.416,   0.268
 0.418,   0.258
 0.420,   0.248
 0.422,   0.238
 0.424,   0.229
 0.426,   0.225
 0.428,   0.262
 0.430,   0.339
 0.432,   0.382
 0.434,   0.380
 0.436,   0.365
 0.438,   0.351
 0.440,   0.337
 0.442,   0.324
 0.444,   0.311
 0.446,   0.299
 0.448,   0.287
 0.450,   0.276
 0.452,   0.265
 0.454,   0.255
 0.456,   0.245
 0.458,   0.254
 0.460,   0.309
 0.462,   0.380
 0.464,   0.396
 0.466,   0.385
 0.468,   0.370
 0.470,   0.356
 0.472,   0.342
 0.474,   0.328
 0.476,   0.316
 0.478,   0.303
 0.480,   0.291
 0.482,   0.280
 0.484,   0.269
 0.486,   0.262
 0.488,   0.287
 0.490,   0.358
 0.492,   0.405
 0.494,   0.404
 0.496,   0.389
 0.498,   0.374
 0.500,   0.360
 0.502,   0.345
 0.504,   0.332
 0.506,   0.319
 0.508,   0.306
 0.510,   0.294
 0.512,   0.283
 0.514,   0.279
 0.516,   0.315
 0.518,   0.387
 0.520,   0.418
 0.522,   0.411
 0.524,   0.395
 0.526,   0.380
 0.528,   0.365
 0.530,   0.351
 0.532,   0.337
 0.534,   0.324
 0.536,   0.311
 0.538,   0.299
 0.540,   0.293
 0.542,   0.324
 0.544,   0.394
 0.546,   0.428
 0.548,   0.421
 0.550,   0.405
 0.552,   0.389
 0.554,   0.374
 0.556,   0.359
 0.558,   0.345
 0.560,   0.332
 0.562,   0.319
 0.564,   0.307
 0.566,   0.316
 0.568,   0.370
 0.570,   0.429
 0.572,   0.435
 0.574,   0.421
 0.576,   0.405
 0.578,   0.389
 0.580,   0.373
 0.582,   0.359
 0.584,   0.345
 0.586,   0.331
 0.588,   0.320
 0.590,   0.329
 0.592,   0.384
 0.594,   0.439
 0.596,   0.443
 0.598,   0.428
 0.600,   0.411
 0.602,   0.431
 0.604,   0.517
 0.606,   0.642
 0.608,   0.697
 0.610,   0.684
 0.612,   0.665
 0.614,   0.683
 0.616,   0.737
 0.618,   0.749
