Time(s),Force(N)
 0.636,   0.341
 0.638,   0.371
 0.640,   0.437
 0.642,   0.460
 0.644,   0.451
 0.646,   0.433
 0.648,   0.416
 0.650,   0.400
 0.652,   0.384
 0.654,   0.369
 0.656,   0.355
 0.658,   0.355
 0.660,   0.397
 0.662,   0.457
 0.664,   0.466
 0.666,   0.452
 0.668,   0.435
 0.670,   0.418
 0.672,   0.401
 0.674,   0.386
 0.676,   0.370
 0.678,   0.362
 0.680,   0.384
 0.682,   0.447
 0.684,   0.474
 0.686,   0.466
 0.688,   0.447
 0.690,   0.430
 0.692,   0.413
 0.694,   0.397
 0.696,   0.381
 0.698,   0.371
 0.700,   0.389
 0.702,   0.450
 0.704,   0.480
 0.706,   0.473
 0.708,   0.455
 0.710,   0.437
 0.712,   0.420
 0.714,   0.403
 0.716,   0.387
 0.718,   0.380
 0.720,   0.406
 0.722,   0.468
 0.724,   0.486
 0.726,   0.475
 0.728,   0.457
 0.730,   0.439
 0.732,   0.421
 0.734,   0.405
 0.736,   0.390
 0.738,   0.394
 0.740,   0.441
 0.742,   0.489
 0.744,   0.489
 0.746,   0.472
 0.748,   0.454
 0.750,   0.436
 0.752,   0.419
 0.754,   0.402
 0.756,   0.397
 0.758,   0.429
 0.760,   0.487
 0.762,   0.497
 0.764,   0.483
 0.766,   0.464
 0.768,   0.446
 0.770,   0.428
 0.772,   0.412
 0.774,   0.404
 0.776,   0.431
 0.778,   0.490
 0.780,   0.502
 0.782,   0.490
 0.784,   0.471
 0.786,   0.452
 0.788,   0.434
 0.790,   0.418
 0.792,   0.412
 0.794,   0.444
 0.796,   0.500
 0.798,   0.507
 0.800,   0.492
 0.802,   0.473
 0.804,   0.454
 0.806,   0.437
 0.808,   0.421
 0.810,   0.424
 0.812,   0.470
 0.814,   0.512
 0.816,   0.509
 0.818,   0.491
 0.820,   0.472
 0.822,   0.453
 0.824,   0.435
 0.826,   0.426
 0.828,   0.447
 0.830,   0.503
 0.832,   0.518
 0.834,   0.505
 0.836,   0.486
 0.838,   0.467
 0.840,   0.448
 0.842,   0.434
 0.844,   0.440
 0.846,   0.492
 0.848,   0.523
 0.850,   0.516
 0.852,   0.497
 0.854,   0.477
 0.856,   0.458
 0.858,   0.442
 0.860,   0.442
 0.862,   0.485
 0.864,   0.526
 0.866,   0.523
 0.868,   0.504
 0.870,   0.485
 0.872,   0.466
 0.874,   0.449
 0.876,   0.448
 0.878,   0.489
 0.880,   0.530
 0.882,   0.527
 0.884,   0.509
 0.886,   0.489
 0.888,   0.470
 0.890,   0.454
 0.892,   0.456
 0.894,   0.501
 0.896,   0.536
 0.898,   0.530
 0.900,   0.511
 0.902,   0.491
 0.904,   0.472
 0.906,   0.458
 0.908,   0.468
 0.910,   0.520
 0.912,   0.540
 0.914,   0.530
 0.916,   0.510
 0.918,   0.490
 0.920,   0.471
 0.922,   0.463
 0.924,   0.489
 0.926,   0.539
 0.928,   0.542
 0.930,   0.527
 0.932,   0.506
 0.934,   0.486
 0.936,   0.471
 0.938,   0.475
 0.940,   0.523
 0.942,   0.549
 0.944,   0.540
 0.946,   0.520
 0.948,   0.499
 0.950,   0.480
 0.952,   0.474
 0.954,   0.505
 0.956,   0.550
 0.958,   0.549
 0.960,   0.531
 0.962,   0.511
 0.964,   0.491
 0.966,   0.479
 0.968,   0.496
 0.970,   0.547
 0.972,   0.555
 0.974,   0.541
 0.976,   0.520
 0.978,   0.499
 0.980,   0.485
 0.982,   0.495
 0.984,   0.544
 0.986,   0.560
 0.988,   0.548
 0.990,   0.527
 0.992,   0.506
 0.994,   0.491
 0.996,   0.497
 0.998,   0.546
 1.000,   0.563
 1.002,   0.553
 1.004,   0.531
 1.006,   0.510
 1.008,   0.496
 1.010,   0.503
 1.012,   0.551
 1.014,   0.567
 1.016,   0.555
 1.018,   0.534
 1.020,   0.513
 1.022,   0.500
 1.024,   0.511
 1.026,   0.560
 1.028,   0.570
 1.030,   0.556
 1.032,   0.534
 1.034,   0.514
 1.036,   0.504
 1.038,   0.524
 1.040,   0.570
 1.042,   0.572
 1.044,   0.555
 1.046,   0.533
 1.048,   0.514
 1.050,   0.509
 1.052,   0.544
 1.054,   0.577
 1.056,   0.571
 1.058,   0.551
 1.060,   0.530
 1.062,   0.514
 1.064,   0.521
 1.066,   0.567
 1.068,   0.580
 1.070,   0.568
 1.072,   0.546
 1.074,   0.525
 1.076,   0.517
 1.078,   0.543
 1.080,   0.583
 1.082,   0.580
 1.084,   0.561
 1.086,   0.539
 1.088,   0.523
 1.090,   0.529
 1.092,   0.575
 1.094,   0.587
 1.096,   0.574
 1.098,   0.551
 1.100,   0.532
 1.102,   0.526
 1.104,   0.559
 1.106,   0.590
 1.108,   0.584
 1.110,   0.563
 1.112,   0.541
 1.114,   0.530
 1.116,   0.547
 1.118,   0.590
 1.120,   0.590
 1.122,   0.573
 1.124,   0.550
 1.126,   0.535
 1.128,   0.542
 1.130,   0.587
 1.132,   0.595
 1.134,   0.581
 1.136,   0.559
 1.138,   0.540
 1.140,   0.539
 1.142,   0.578
 1.144,   0.598
 1.146,   0.588
