Time(s),Force(N)
 0.636,   0.598
 0.638,   0.561
 0.640,   0.524
 0.642,   0.491
 0.644,   0.459
 0.646,   0.429
 0.648,   0.402
 0.650,   0.390
 0.652,   0.467
 0.654,   0.609
 0.656,   0.619
 0.658,   0.591
 0.660,   0.553
 0.662,   0.517
 0.664,   0.484
 0.666,   0.453
 0.668,   0.424
 0.670,   0.402
 0.672,   0.432
 0.674,   0.575
 0.676,   0.627
 0.678,   0.608
 0.680,   0.570
 0.682,   0.534
 0.684,   0.499
 0.686,   0.467
 0.688,   0.437
 0.690,   0.413
 0.692,   0.435
 0.694,   0.570
 0.696,   0.631
 0.698,   0.614
 0.700,   0.576
 0.702,   0.539
 0.704,   0.504
 0.706,   0.472
 0.708,   0.441
 0.710,   0.421
 0.712,   0.462
 0.714,   0.604
 0.716,   0.634
 0.718,   0.611
 0.720,   0.572
 0.722,   0.535
 0.724,   0.500
 0.726,   0.468
 0.728,   0.439
 0.730,   0.433
 0.732,   0.528
 0.734,   0.638
 0.736,   0.629
 0.738,   0.596
 0.740,   0.557
 0.742,   0.521
 0.744,   0.488
 0.746,   0.456
 0.748,   0.439
 0.750,   0.494
 0.752,   0.628
 0.754,   0.638
 0.756,   0.611
 0.758,   0.571
 0.760,   0.534
 0.762,   0.500
 0.764,   0.468
 0.766,   0.448
 0.768,   0.491
 0.770,   0.626
 0.772,   0.643
 0.774,   0.617
 0.776,   0.577
 0.778,   0.540
 0.780,   0.505
 0.782,   0.472
 0.784,   0.456
 0.786,   0.512
 0.788,   0.639
 0.790,   0.644
 0.792,   0.614
 0.794,   0.575
 0.796,   0.538
 0.798,   0.503
 0.800,   0.472
 0.802,   0.466
 0.804,   0.560
 0.806,   0.652
 0.808,   0.640
 0.810,   0.604
 0.812,   0.565
 0.814,   0.529
 0.816,   0.495
 0.818,   0.472
 0.820,   0.503
 0.822,   0.633
 0.824,   0.653
 0.826,   0.627
 0.828,   0.587
 0.830,   0.549
 0.832,   0.514
 0.834,   0.484
 0.836,   0.485
 0.838,   0.595
 0.840,   0.658
 0.842,   0.641
 0.844,   0.603
 0.846,   0.564
 0.848,   0.528
 0.850,   0.495
 0.852,   0.486
 0.854,   0.572
 0.856,   0.662
 0.858,   0.649
 0.860,   0.613
 0.862,   0.573
 0.864,   0.536
 0.866,   0.503
 0.868,   0.492
 0.870,   0.573
 0.872,   0.665
 0.874,   0.652
 0.876,   0.616
 0.878,   0.576
 0.880,   0.539
 0.882,   0.507
 0.884,   0.501
 0.886,   0.595
 0.888,   0.667
 0.890,   0.652
 0.892,   0.614
 0.894,   0.574
 0.896,   0.537
 0.898,   0.509
 0.900,   0.518
 0.902,   0.634
 0.904,   0.669
 0.906,   0.646
 0.908,   0.606
 0.910,   0.567
 0.912,   0.530
 0.914,   0.511
 0.916,   0.555
 0.918,   0.667
 0.920,   0.665
 0.922,   0.634
 0.924,   0.593
 0.926,   0.555
 0.928,   0.523
 0.930,   0.522
 0.932,   0.626
 0.934,   0.675
 0.936,   0.655
 0.938,   0.615
 0.940,   0.575
 0.942,   0.539
 0.944,   0.522
 0.946,   0.577
 0.948,   0.677
 0.950,   0.668
