Sample,FX,FY,FZ,MX,MY,MZ
93,-0.026022,0.065915,0.677040,0.087531,-0.077488,0.039897
94,-0.027411,0.067746,0.675741,0.088689,-0.079142,0.039813
95,-0.028606,0.069037,0.673631,0.090766,-0.080622,0.039537
96,-0.028810,0.068801,0.671943,0.091808,-0.080862,0.038892
97,-0.028345,0.067643,0.671030,0.091333,-0.080208,0.038534
98,-0.027818,0.066830,0.670756,0.090052,-0.079326,0.038538
99,-0.027386,0.066813,0.671180,0.088589,-0.078372,0.038163
100,-0.027217,0.067166,0.672001,0.087533,-0.077762,0.037604
101,-0.027669,0.067331,0.672474,0.087708,-0.078209,0.037976
102,-0.028514,0.066818,0.672465,0.088949,-0.079350,0.039176
103,-0.028867,0.065431,0.672626,0.089548,-0.079821,0.039853
104,-0.028386,0.063990,0.673052,0.088508,-0.079220,0.039567
105,-0.027756,0.063871,0.672922,0.086945,-0.078473,0.038973
106,-0.027604,0.065243,0.671899,0.086191,-0.078119,0.038246
107,-0.027719,0.066733,0.670480,0.086464,-0.077866,0.037242
108,-0.027687,0.067175,0.668978,0.087587,-0.077868,0.036662
109,-0.027448,0.066503,0.667608,0.089016,-0.078662,0.037461
110,-0.026943,0.064991,0.666915,0.089438,-0.079773,0.039322
111,-0.026283,0.063152,0.667001,0.088026,-0.080127,0.040813
112,-0.026218,0.062087,0.667174,0.086004,-0.079785,0.040950
113,-0.027283,0.062408,0.666962,0.085450,-0.079593,0.039814
114,-0.028691,0.063294,0.666675,0.086510,-0.079514,0.037935
115,-0.028994,0.063592,0.666598,0.087562,-0.079069,0.036121
116,-0.027796,0.063253,0.666437,0.087837,-0.078679,0.035518
117,-0.026107,0.062884,0.666114,0.087553,-0.078804,0.036557
118,-0.025034,0.062551,0.666194,0.086300,-0.078779,0.038041
119,-0.025172,0.062148,0.666845,0.083856,-0.078018,0.038469
120,-0.026919,0.062171,0.667179,0.081693,-0.077164,0.037923
121,-0.029578,0.062871,0.666242,0.081561,-0.076913,0.037483
122,-0.030824,0.063468,0.664246,0.083218,-0.076872,0.037499
123,-0.029106,0.063210,0.662390,0.085044,-0.076478,0.037711
124,-0.025874,0.062450,0.661559,0.086044,-0.075849,0.038190
125,-0.023914,0.061979,0.661728,0.085933,-0.075109,0.038810
126,-0.024377,0.062191,0.662389,0.084646,-0.074064,0.038623
127,-0.026507,0.063168,0.662755,0.083181,-0.073017,0.037135
128,-0.029033,0.064561,0.662058,0.083193,-0.072831,0.035629
129,-0.030508,0.065416,0.660528,0.084624,-0.073662,0.035780
130,-0.029773,0.065066,0.659402,0.085594,-0.074684,0.037507
131,-0.027415,0.064261,0.659278,0.085257,-0.075532,0.039621
132,-0.025505,0.064303,0.659589,0.084637,-0.076523,0.041225
133,-0.025307,0.065089,0.660007,0.084380,-0.077131,0.041420
134,-0.026320,0.065385,0.660676,0.083928,-0.076211,0.039727
135,-0.027440,0.064806,0.661041,0.083161,-0.074035,0.037327
136,-0.027753,0.064021,0.660271,0.082779,-0.072258,0.036021
137,-0.026698,0.063298,0.658678,0.082660,-0.071614,0.035946
138,-0.024941,0.062480,0.657275,0.081901,-0.071447,0.036014
139,-0.024398,0.062179,0.656122,0.080878,-0.071556,0.035928
140,-0.026247,0.063264,0.654426,0.081070,-0.072448,0.035960
141,-0.029555,0.065211,0.651997,0.082640,-0.073857,0.035926
142,-0.032244,0.066433,0.649346,0.084276,-0.074898,0.035894
143,-0.032764,0.066337,0.646963,0.085306,-0.075325,0.036632
144,-0.030887,0.065717,0.645621,0.085798,-0.075256,0.038311
145,-0.027466,0.065141,0.646378,0.085017,-0.074384,0.039621
146,-0.023938,0.064521,0.649076,0.082344,-0.072745,0.039143
147,-0.021927,0.064167,0.651622,0.079223,-0.071321,0.037164
148,-0.022074,0.064562,0.651945,0.077848,-0.070775,0.035179
149,-0.023157,0.065277,0.650018,0.078487,-0.070748,0.034254
150,-0.023510,0.065615,0.647185,0.079912,-0.071029,0.034760
151,-0.023092,0.065918,0.644614,0.081399,-0.071910,0.036578
152,-0.023125,0.066661,0.643103,0.082455,-0.072967,0.038561
153,-0.023980,0.067131,0.643151,0.082084,-0.073021,0.038741
154,-0.024937,0.066695,0.644363,0.080167,-0.071774,0.036388
155,-0.025649,0.066037,0.645272,0.078233,-0.070263,0.033418
156,-0.025929,0.065779,0.644498,0.077707,-0.069475,0.032500
157,-0.025152,0.065542,0.642065,0.078467,-0.069518,0.034215
158,-0.023614,0.065078,0.639107,0.079672,-0.070200,0.037148
159,-0.022919,0.064784,0.636747,0.080909,-0.071235,0.039736
160,-0.023848,0.064850,0.635693,0.081963,-0.071646,0.040957
161,-0.025417,0.064997,0.635806,0.082356,-0.070375,0.040465
162,-0.026529,0.065142,0.635841,0.081937,-0.068025,0.039100
163,-0.026947,0.065504,0.634920,0.081117,-0.066474,0.038219
164,-0.026502,0.065818,0.633860,0.079968,-0.066413,0.038050
165,-0.025097,0.065435,0.633847,0.078408,-0.066968,0.037749
166,-0.023726,0.064567,0.634527,0.077252,-0.067486,0.036977
167,-0.023892,0.064226,0.634454,0.077472,-0.067910,0.036326
168,-0.025609,0.064488,0.633005,0.078667,-0.067885,0.036245
169,-0.027158,0.064326,0.630705,0.079628,-0.067126,0.036492
170,-0.027216,0.063630,0.628014,0.080085,-0.066364,0.036887
171,-0.026090,0.063454,0.625504,0.080445,-0.066490,0.037587
172,-0.024659,0.063663,0.624556,0.080217,-0.067019,0.038177
173,-0.023334,0.062817,0.625943,0.078436,-0.066816,0.037647
174,-0.022431,0.060942,0.628298,0.075516,-0.065805,0.035780
175,-0.022434,0.059871,0.629255,0.073181,-0.064684,0.033593
176,-0.023109,0.060466,0.627707,0.072403,-0.063713,0.032304
177,-0.023480,0.061669,0.624445,0.072794,-0.063111,0.032578
178,-0.023394,0.062518,0.621041,0.073981,-0.063645,0.034327
179,-0.023529,0.062998,0.618902,0.075652,-0.065254,0.036608
180,-0.023692,0.062820,0.618870,0.076480,-0.066200,0.037963
181,-0.023313,0.061821,0.620227,0.075486,-0.065168,0.037517
182,-0.023138,0.061158,0.620604,0.073973,-0.063070,0.036143
183,-0.024067,0.061687,0.618476,0.073769,-0.061627,0.035774
184,-0.025235,0.062355,0.615049,0.074530,-0.061369,0.036935
185,-0.025332,0.061965,0.612501,0.074858,-0.061632,0.038167
186,-0.024697,0.060888,0.611505,0.074671,-0.061567,0.038308
187,-0.024229,0.059886,0.611546,0.074566,-0.060736,0.037603
188,-0.023647,0.058873,0.612068,0.074231,-0.059225,0.036469
189,-0.022750,0.057794,0.612174,0.073067,-0.057563,0.035022
190,-0.022537,0.057304,0.610953,0.071338,-0.056336,0.033704
191,-0.023351,0.057715,0.608902,0.069810,-0.055843,0.032912
192,-0.024065,0.058398,0.607563,0.069004,-0.056270,0.032461
193,-0.024177,0.058634,0.607425,0.069281,-0.057681,0.032260
194,-0.024575,0.058303,0.607325,0.070749,-0.059618,0.032783
195,-0.025637,0.057690,0.606129,0.072482,-0.061177,0.034177
196,-0.026503,0.057140,0.603962,0.072854,-0.061654,0.035526
197,-0.026721,0.056991,0.601532,0.071527,-0.061303,0.035982
198,-0.026850,0.057309,0.599571,0.069984,-0.061161,0.035897
199,-0.026996,0.057358,0.599058,0.069459,-0.061551,0.035595
200,-0.026491,0.056063,0.600518,0.069494,-0.061476,0.034425
201,-0.025386,0.053515,0.603064,0.069085,-0.060197,0.032293
202,-0.024611,0.051266,0.605030,0.068121,-0.058326,0.030447
203,-0.024379,0.050597,0.605384,0.067069,-0.056837,0.029931
204,-0.024052,0.051509,0.604278,0.066283,-0.056212,0.030360
205,-0.023593,0.053331,0.602521,0.066249,-0.056699,0.030823
206,-0.023319,0.054911,0.600912,0.067315,-0.058246,0.031274
207,-0.022752,0.054681,0.600040,0.068714,-0.059878,0.032017
208,-0.021729,0.052146,0.600011,0.069153,-0.060145,0.032769
209,-0.021514,0.049115,0.600198,0.068543,-0.058724,0.033436
210,-0.022994,0.048008,0.599752,0.067808,-0.056914,0.034571
211,-0.025113,0.049189,0.598558,0.067323,-0.056158,0.036092
212,-0.026364,0.051196,0.597338,0.066895,-0.056687,0.036915
213,-0.026582,0.052734,0.596749,0.066916,-0.057810,0.036602
214,-0.026410,0.053059,0.596876,0.067910,-0.058597,0.035836
215,-0.025899,0.051634,0.597535,0.068991,-0.058213,0.034916
216,-0.024633,0.049020,0.598421,0.068443,-0.056625,0.033485
217,-0.022813,0.046968,0.599135,0.066061,-0.054986,0.031714
218,-0.021103,0.046549,0.599474,0.063448,-0.054606,0.030342
219,-0.019755,0.047228,0.599530,0.062017,-0.055602,0.029641
220,-0.018997,0.048056,0.599371,0.062119,-0.057013,0.029461
221,-0.019492,0.048657,0.598802,0.063611,-0.057977,0.030149
222,-0.021220,0.048955,0.597759,0.065638,-0.058207,0.031986
223,-0.022915,0.048912,0.596701,0.066762,-0.057686,0.033928
224,-0.023666,0.048843,0.596117,0.066666,-0.056870,0.034610
225,-0.023918,0.049237,0.596090,0.066645,-0.056748,0.034012
226,-0.024294,0.049904,0.596625,0.067555,-0.057622,0.032871
227,-0.024556,0.049925,0.597813,0.068385,-0.058357,0.031490
228,-0.024209,0.048810,0.599453,0.067628,-0.057853,0.030183
229,-0.023510,0.047116,0.600942,0.065123,-0.056386,0.029723
230,-0.023235,0.045698,0.601891,0.061827,-0.054755,0.030058
231,-0.023793,0.045046,0.602426,0.058978,-0.053511,0.029878
232,-0.025146,0.045354,0.602604,0.058045,-0.053442,0.028686
233,-0.026830,0.046430,0.602370,0.060048,-0.055108,0.027727
234,-0.027746,0.047413,0.602177,0.064114,-0.057565,0.028043
235,-0.027111,0.047294,0.602645,0.067706,-0.058871,0.029126
236,-0.025807,0.046245,0.603638,0.068967,-0.058257,0.030013
237,-0.025685,0.045589,0.604478,0.068243,-0.056812,0.030442
238,-0.027329,0.045894,0.605036,0.066904,-0.055667,0.030228
239,-0.029398,0.046396,0.605892,0.065771,-0.054878,0.028973
240,-0.030204,0.046488,0.607341,0.065359,-0.054654,0.027356
241,-0.029146,0.046185,0.609033,0.066014,-0.055575,0.027003
242,-0.026735,0.045420,0.610638,0.066884,-0.057009,0.028182
243,-0.024119,0.044380,0.612064,0.066364,-0.057491,0.029426
244,-0.022813,0.043971,0.612996,0.064409,-0.056998,0.029995
245,-0.023703,0.044688,0.612955,0.062843,-0.056937,0.030576
246,-0.025815,0.045796,0.612073,0.062901,-0.057952,0.031298
247,-0.027321,0.046469,0.611120,0.064090,-0.059452,0.031536
248,-0.027641,0.046684,0.610785,0.065427,-0.060857,0.031630
249,-0.027221,0.046559,0.611381,0.066249,-0.061880,0.032397
250,-0.026260,0.046083,0.612931,0.065884,-0.061852,0.033065
251,-0.025370,0.045742,0.615048,0.064032,-0.060120,0.031919
252,-0.026071,0.046176,0.616775,0.061740,-0.057445,0.028883
253,-0.028770,0.047049,0.617228,0.060634,-0.055662,0.025571
254,-0.031447,0.047400,0.616573,0.061094,-0.055801,0.023383
255,-0.031889,0.046996,0.615804,0.062237,-0.057391,0.023100
256,-0.030287,0.046536,0.615775,0.063190,-0.059196,0.025155
257,-0.028443,0.046636,0.616826,0.063478,-0.060096,0.028660
258,-0.027594,0.047060,0.618647,0.062732,-0.059548,0.031152
259,-0.028214,0.047355,0.620034,0.061342,-0.057988,0.030936
260,-0.030191,0.047792,0.619644,0.060936,-0.056805,0.029021
261,-0.032086,0.048482,0.617607,0.062525,-0.056840,0.027618
262,-0.032029,0.048520,0.615570,0.064722,-0.057392,0.027705
263,-0.029973,0.047460,0.614778,0.065368,-0.057664,0.028909
264,-0.027824,0.046407,0.615180,0.064109,-0.057859,0.030462
265,-0.027425,0.046586,0.616212,0.062116,-0.057940,0.031386
