Time(s),Length(m),[Calcium],Force(N)
 0.000,0.210000,0.000000,0.000000
 0.001,0.210000,0.000000,0.000000
 0.002,0.210000,0.000000,0.000000
 0.003,0.210000,0.000000,0.000000
 0.004,0.210000,0.000000,0.000000
 0.005,0.210000,0.000000,0.000000
 0.006,0.210000,0.000000,0.000000
 0.007,0.210000,0.000000,0.000000
 0.008,0.210000,0.000000,0.000000
 0.009,0.210000,0.000000,0.000000
 0.010,0.210000,0.000000,0.000000
 0.011,0.210000,0.000000,0.000000
 0.012,0.210000,0.000000,0.000000
 0.013,0.210000,0.000000,0.000000
 0.014,0.210000,0.000000,0.000000
 0.015,0.210000,0.000000,0.000000
 0.016,0.210000,0.000000,0.000000
 0.017,0.210000,0.000000,0.000000
 0.018,0.210000,0.000000,0.000000
 0.019,0.210000,0.000000,0.000000
 0.020,0.210000,0.000000,0.000000
 0.021,0.210000,0.000000,0.000000
 0.022,0.210000,0.000000,0.000000
 0.023,0.210000,0.000000,0.000000
 0.024,0.210000,0.000000,0.000000
 0.025,0.210000,0.000000,0.000000
 0.026,0.210000,0.000000,0.000000
 0.027,0.210000,0.000000,0.000000
 0.028,0.210000,0.000000,0.000000
 0.029,0.210000,0.000000,0.000000
 0.030,0.210000,0.000000,0.000000
 0.031,0.210000,0.000000,0.000000
 0.032,0.210000,0.000000,0.000000
 0.033,0.210000,0.000000,0.000000
 0.034,0.210000,0.000000,0.000000
 0.035,0.210000,0.000000,0.000000
 0.036,0.210000,0.000000,0.000000
 0.037,0.210000,0.000000,0.000000
 0.038,0.210000,0.000000,0.000000
 0.039,0.210000,0.000000,0.000000
 0.040,0.210000,0.000000,0.000000
 0.041,0.210000,0.000000,0.000000
 0.042,0.210000,0.000000,0.000000
 0.043,0.210000,0.000000,0.000000
 0.044,0.210000,0.000000,0.000000
 0.045,0.210000,0.000000,0.000000
 0.046,0.210000,0.000000,0.000000
 0.047,0.210000,0.000000,0.000000
 0.048,0.210000,0.000000,0.000000
 0.049,0.210000,0.000000,0.000000
 0.050,0.210000,0.000000,0.000000
 0.051,0.210000,0.000000,0.000000
 0.052,0.210000,0.000000,0.000000
 0.053,0.210000,0.000000,0.000000
 0.054,0.210000,0.000000,0.000000
 0.055,0.210000,0.000000,0.000000
 0.056,0.210000,0.000000,0.000000
 0.057,0.210000,0.000000,0.000000
 0.058,0.210000,0.000000,0.000000
 0.059,0.210000,0.000000,0.000000
 0.060,0.210000,0.000000,0.000000
 0.061,0.210000,0.000000,0.000000
 0.062,0.210000,0.000000,0.000000
 0.063,0.210000,0.000000,0.000000
 0.064,0.210000,0.000000,0.000000
 0.065,0.210000,0.000000,0.000000
 0.066,0.210000,0.000000,0.000000
 0.067,0.210000,0.000000,0.000000
 0.068,0.210000,0.000000,0.000000
 0.069,0.210000,0.000000,0.000000
 0.070,0.210000,0.000000,0.000000
 0.071,0.210000,0.000000,0.000000
 0.072,0.210000,0.000000,0.000000
 0.073,0.210000,0.000000,0.000000
 0.074,0.210000,0.000000,0.000000
 0.075,0.210000,0.000000,0.000000
 0.076,0.210000,0.000000,0.000000
 0.077,0.210000,0.000000,0.000000
 0.078,0.210000,0.000000,0.000000
 0.079,0.210000,0.000000,0.000000
 0.080,0.210000,0.000000,0.000000
 0.081,0.210000,0.000000,0.000000
 0.082,0.210000,0.000000,0.000000
 0.083,0.210000,0.000000,0.000000
 0.084,0.210000,0.000000,0.000000
 0.085,0.210000,0.000000,0.000000
 0.086,0.210000,0.000000,0.000000
 0.087,0.210000,0.000000,0.000000
 0.088,0.210000,0.000000,0.000000
 0.089,0.210000,0.000000,0.000000
 0.090,0.210000,0.000000,0.000000
 0.091,0.210000,0.000000,0.000000
 0.092,0.210000,0.000000,0.000000
 0.093,0.210000,0.000000,0.000000
 0.094,0.210000,0.000000,0.000000
 0.095,0.210000,0.000000,0.000000
 0.096,0.210000,0.000000,0.000000
 0.097,0.210000,0.000000,0.000000
 0.098,0.210000,0.000000,0.000000
 0.099,0.210000,0.000000,0.000000
 0.100,0.210000,0.000039,0.000003
 0.101,0.210033,0.181303,0.989378
 0.102,0.210070,0.329708,2.127203
 0.103,0.210107,0.451211,3.252883
 0.104,0.210143,0.550690,4.356460
 0.105,0.210179,0.632136,5.435445
 0.106,0.210213,0.698818,6.489198
 0.107,0.210247,0.753413,7.517687
 0.108,0.210280,0.798112,8.520521
 0.109,0.210312,0.834708,9.498549
 0.110,0.210344,0.864670,10.452254
 0.111,0.210374,0.889201,11.382490
 0.112,0.210404,0.909286,12.289156
 0.113,0.210433,0.925729,13.172760
 0.114,0.210461,0.939192,14.034203
 0.115,0.210489,0.950215,14.874044
 0.116,0.210516,0.959239,15.693394
 0.117,0.210542,0.966628,16.491234
 0.118,0.210568,0.972677,17.269064
 0.119,0.210593,0.977630,18.027414
 0.120,0.210617,0.981685,18.766848
 0.121,0.210641,0.985005,19.488079
 0.122,0.210664,0.987723,20.190480
 0.123,0.210686,0.989949,20.875361
 0.124,0.210708,0.991771,21.543181
 0.125,0.210730,0.993262,22.194507
 0.126,0.210750,0.994484,22.829673
 0.127,0.210771,0.995484,23.448373
 0.128,0.210791,0.996302,24.051740
 0.129,0.210810,0.996973,24.640179
 0.130,0.210829,0.997521,25.214081
 0.131,0.210847,0.997971,25.773970
 0.132,0.210865,0.998339,26.319284
 0.133,0.210883,0.998640,26.851183
 0.134,0.210900,0.998886,27.370018
 0.135,0.210916,0.999088,27.876131
 0.136,0.210933,0.999253,28.369956
 0.137,0.210948,0.999389,28.850905
 0.138,0.210964,0.999500,29.320113
 0.139,0.210979,0.999590,29.777885
 0.140,0.210994,0.999665,30.224517
 0.141,0.211008,0.999725,30.660505
 0.142,0.211022,0.999775,31.085059
 0.143,0.211035,0.999816,31.499228
 0.144,0.211049,0.999849,31.903383
 0.145,0.211062,0.999877,32.297779
 0.146,0.211074,0.999899,32.682670
 0.147,0.211087,0.999917,33.058244
 0.148,0.211099,0.999932,33.424047
 0.149,0.211110,0.999945,33.781075
 0.150,0.211122,0.999955,34.129553
 0.151,0.211133,0.999963,34.469698
 0.152,0.211144,0.999970,34.801725
 0.153,0.211155,0.999975,35.125800
 0.154,0.211165,0.999980,35.441356
 0.155,0.211175,0.999983,35.749417
 0.156,0.211185,0.999986,36.050172
 0.157,0.211195,0.999989,36.343806
 0.158,0.211204,0.999991,36.630501
 0.159,0.211213,0.999992,36.910572
 0.160,0.211222,0.999994,37.183040
 0.161,0.211231,0.999995,37.449078
 0.162,0.211240,0.999996,37.708869
 0.163,0.211248,0.999997,37.962570
 0.164,0.211256,0.999997,38.210336
 0.165,0.211264,0.999998,38.452313
 0.166,0.211272,0.999998,38.688607
 0.167,0.211279,0.999998,38.918516
 0.168,0.211287,0.999999,39.143084
 0.169,0.211294,0.999999,39.362440
 0.170,0.211301,0.999999,39.576714
 0.171,0.211308,0.999999,39.786033
 0.172,0.211315,0.999999,39.990520
 0.173,0.211321,1.000000,40.190485
 0.174,0.211328,1.000000,40.384826
 0.175,0.211334,1.000000,40.574581
 0.176,0.211340,1.000000,40.759988
 0.177,0.211346,1.000000,40.941150
 0.178,0.211352,1.000000,41.118172
 0.179,0.211357,1.000000,41.291155
 0.180,0.211363,1.000000,41.460198
 0.181,0.211368,1.000000,41.625907
 0.182,0.211374,1.000000,41.786356
 0.183,0.211379,1.000000,41.943173
 0.184,0.211384,1.000000,42.096448
 0.185,0.211389,1.000000,42.246265
 0.186,0.211394,1.000000,42.392706
 0.187,0.211398,1.000000,42.535850
 0.188,0.211403,1.000000,42.675777
 0.189,0.211407,1.000000,42.812565
 0.190,0.211412,1.000000,42.946772
 0.191,0.211416,1.000000,43.076480
 0.192,0.211420,1.000000,43.203298
 0.193,0.211424,1.000000,43.327296
 0.194,0.211428,1.000000,43.448541
 0.195,0.211432,1.000000,43.567099
 0.196,0.211436,1.000000,43.683033
 0.197,0.211440,1.000000,43.796404
 0.198,0.211443,1.000000,43.907269
 0.199,0.211447,1.000000,44.015979
 0.200,0.211450,1.000000,44.122417
 0.201,0.211454,1.000000,44.225058
 0.202,0.211457,1.000000,44.325453
 0.203,0.211460,1.000000,44.423653
 0.204,0.211463,1.000000,44.519711
 0.205,0.211467,1.000000,44.613676
 0.206,0.211470,1.000000,44.705597
 0.207,0.211473,1.000000,44.795523
 0.208,0.211475,1.000000,44.883499
 0.209,0.211478,1.000000,44.969571
 0.210,0.211481,1.000000,45.054121
 0.211,0.211484,1.000000,45.137868
 0.212,0.211486,1.000000,45.217399
 0.213,0.211489,1.000000,45.295197
 0.214,0.211491,1.000000,45.371326
 0.215,0.211494,1.000000,45.445826
 0.216,0.211496,1.000000,45.518733
 0.217,0.211499,1.000000,45.590084
