Time(s),Length(m),[Calcium],Force(N)
 0.400,0.272927,1.000000,88.993854
 0.402,0.272654,1.000000,84.047776
 0.404,0.272391,1.000000,79.442364
 0.406,0.272140,1.000000,75.171636
 0.408,0.271898,1.000000,71.204940
 0.410,0.271666,1.000000,67.516790
 0.412,0.271442,1.000000,64.086344
 0.414,0.271226,1.000000,60.897191
 0.416,0.271017,1.000000,57.936451
 0.418,0.270816,1.000000,55.193994
 0.420,0.270622,1.000000,52.660736
 0.422,0.270434,1.000000,50.331176
 0.424,0.270253,1.000000,48.200165
 0.426,0.270078,1.000000,46.262438
 0.428,0.269909,1.000000,44.511915
 0.430,0.269747,1.000000,42.941644
 0.432,0.269590,1.000000,41.543474
 0.434,0.269438,1.000000,40.308254
 0.436,0.269291,1.000000,39.225876
 0.438,0.269149,1.000000,38.285572
 0.440,0.269012,1.000000,37.476012
 0.442,0.268878,1.000000,36.785767
 0.444,0.268747,1.000000,36.203305
 0.446,0.268620,1.000000,35.717510
 0.448,0.268496,1.000000,35.317473
 0.450,0.268374,1.000000,34.992392
 0.452,0.268255,1.000000,34.732814
 0.454,0.268137,1.000000,34.529933
 0.456,0.268021,1.000000,34.375935
 0.458,0.267906,1.000000,34.263389
 0.460,0.267792,1.000000,34.186266
 0.462,0.267680,1.000000,34.138920
 0.464,0.267568,1.000000,34.116288
 0.466,0.267457,1.000000,34.114412
 0.468,0.267346,1.000000,34.129253
 0.470,0.267236,1.000000,34.157698
 0.472,0.267126,1.000000,34.196864
 0.474,0.267016,1.000000,34.244196
 0.476,0.266907,1.000000,34.298532
 0.478,0.266798,1.000000,34.357093
 0.480,0.266689,1.000000,34.419375
 0.482,0.266580,1.000000,34.483099
 0.484,0.266471,1.000000,34.548609
 0.486,0.266362,1.000000,34.614813
 0.488,0.266253,1.000000,34.680018
 0.490,0.266144,1.000000,34.744076
 0.492,0.266035,1.000000,34.807062
 0.494,0.265926,1.000000,34.868396
 0.496,0.265817,1.000000,34.928037
 0.498,0.265707,1.000000,34.986056
 0.500,0.265598,1.000000,35.042333
 0.502,0.265489,1.000000,35.096466
 0.504,0.265379,1.000000,35.148604
 0.506,0.265270,1.000000,35.198912
 0.508,0.265161,1.000000,35.247906
 0.510,0.265051,1.000000,35.295662
 0.512,0.264941,1.000000,35.341952
 0.514,0.264832,1.000000,35.386895
 0.516,0.264722,1.000000,35.430390
 0.518,0.264612,1.000000,35.472082
 0.520,0.264503,1.000000,35.512183
 0.522,0.264393,1.000000,35.550912
 0.524,0.264283,1.000000,35.588443
 0.526,0.264173,1.000000,35.624934
 0.528,0.264063,1.000000,35.660514
 0.530,0.263953,1.000000,35.695299
 0.532,0.263843,1.000000,35.729382
 0.534,0.263733,1.000000,35.762847
 0.536,0.263623,1.000000,35.795846
 0.538,0.263513,1.000000,35.826964
 0.540,0.263403,1.000000,35.857614
 0.542,0.263293,1.000000,35.887970
 0.544,0.263183,1.000000,35.918057
 0.546,0.263072,1.000000,35.947903
 0.548,0.262962,1.000000,35.977522
 0.550,0.262852,1.000000,36.006925
 0.552,0.262742,1.000000,36.036106
 0.554,0.262632,1.000000,36.065223
