Time(s),Length(m),[Calcium],Force(N)
 0.138,0.251971,0.999500,59.957615
 0.139,0.252002,0.999590,60.893726
 0.140,0.252032,0.999665,61.807058
 0.141,0.252061,0.999725,62.698645
 0.142,0.252090,0.999775,63.567021
 0.143,0.252117,0.999816,64.413961
 0.144,0.252145,0.999849,65.240421
 0.145,0.252171,0.999877,66.046927
 0.146,0.252197,0.999899,66.833996
 0.147,0.252222,0.999917,67.602163
 0.148,0.252247,0.999932,68.350193
 0.149,0.252271,0.999945,69.080281
 0.150,0.252294,0.999955,69.792882
 0.151,0.252317,0.999963,70.488445
 0.152,0.252339,0.999970,71.167407
 0.153,0.252361,0.999975,71.830038
 0.154,0.252382,0.999980,72.475322
 0.155,0.252403,0.999983,73.105278
 0.156,0.252423,0.999986,73.720294
 0.157,0.252443,0.999989,74.320749
 0.158,0.252462,0.999991,74.907014
 0.159,0.252481,0.999992,75.479724
 0.160,0.252499,0.999994,76.037015
 0.161,0.252517,0.999995,76.581035
 0.162,0.252535,0.999996,77.112281
 0.163,0.252552,0.999997,77.631074
 0.164,0.252569,0.999997,78.137728
 0.165,0.252585,0.999998,78.632548
 0.166,0.252601,0.999998,79.115891
 0.167,0.252616,0.999998,79.586027
 0.168,0.252631,0.999999,80.045240
 0.169,0.252646,0.999999,80.493797
 0.170,0.252660,0.999999,80.931962
 0.171,0.252674,0.999999,81.359994
 0.172,0.252688,0.999999,81.778146
 0.173,0.252702,1.000000,82.187100
 0.174,0.252715,1.000000,82.584423
 0.175,0.252727,1.000000,82.972451
 0.176,0.252740,1.000000,83.351587
 0.177,0.252752,1.000000,83.722044
 0.178,0.252764,1.000000,84.084034
 0.179,0.252776,1.000000,84.437766
 0.180,0.252787,1.000000,84.783440
 0.181,0.252798,1.000000,85.122219
 0.182,0.252809,1.000000,85.450321
 0.183,0.252819,1.000000,85.770998
 0.184,0.252830,1.000000,86.084430
 0.185,0.252840,1.000000,86.390794
 0.186,0.252850,1.000000,86.690253
 0.187,0.252859,1.000000,86.982970
 0.188,0.252869,1.000000,87.269110
 0.189,0.252878,1.000000,87.548830
 0.190,0.252887,1.000000,87.823290
 0.191,0.252896,1.000000,88.088530
 0.192,0.252904,1.000000,88.347862
 0.193,0.252913,1.000000,88.601427
 0.194,0.252921,1.000000,88.849362
 0.195,0.252929,1.000000,89.091803
 0.196,0.252936,1.000000,89.328879
 0.197,0.252944,1.000000,89.560713
 0.198,0.252951,1.000000,89.787422
 0.199,0.252959,1.000000,90.009705
 0.200,0.252966,1.000000,90.227506
 0.201,0.252973,1.000000,90.437394
