Time(s),Length(m),Activation,Force(N)
 0.000,  0.269,0.010,   4.688
 0.001,  0.269,0.010,   4.688
 0.003,  0.269,0.010,   4.688
 0.004,  0.269,0.010,   4.688
 0.006,  0.269,0.010,   4.688
 0.007,  0.269,0.010,   4.688
 0.008,  0.269,0.010,   4.688
 0.010,  0.269,0.010,   4.688
 0.011,  0.269,0.010,   4.688
 0.013,  0.269,0.010,   4.688
 0.014,  0.269,0.010,   4.688
 0.015,  0.269,0.010,   4.688
 0.017,  0.269,0.010,   4.688
 0.018,  0.269,0.010,   4.688
 0.020,  0.269,0.010,   4.688
 0.021,  0.269,0.010,   4.688
 0.022,  0.269,0.010,   4.688
 0.024,  0.269,0.010,   4.688
 0.025,  0.269,0.010,   4.688
 0.027,  0.269,0.010,   4.688
 0.028,  0.269,0.010,   4.688
 0.029,  0.269,0.010,   4.688
 0.031,  0.269,0.010,   4.688
 0.032,  0.269,0.010,   4.688
 0.034,  0.269,0.010,   4.688
 0.035,  0.269,0.010,   4.688
 0.036,  0.269,0.010,   4.688
 0.038,  0.269,0.010,   4.688
 0.039,  0.269,0.010,   4.688
 0.041,  0.269,0.010,   4.688
 0.042,  0.269,0.010,   4.688
 0.043,  0.269,0.010,   4.688
 0.045,  0.269,0.010,   4.688
 0.046,  0.269,0.010,   4.688
 0.048,  0.269,0.010,   4.688
 0.049,  0.269,0.010,   4.688
 0.050,  0.269,0.010,   4.694
 0.052,  0.269,0.016,   4.973
 0.053,  0.269,0.027,   5.622
 0.055,  0.269,0.044,   6.521
 0.056,  0.269,0.064,   7.603
 0.057,  0.269,0.088,   8.831
 0.059,  0.269,0.113,  10.177
 0.060,  0.269,0.141,  11.624
 0.062,  0.269,0.169,  13.156
 0.063,  0.269,0.199,  14.761
 0.064,  0.269,0.229,  16.428
 0.066,  0.269,0.259,  18.150
 0.067,  0.269,0.289,  19.917
 0.069,  0.269,0.319,  21.723
 0.070,  0.269,0.348,  23.559
 0.071,  0.269,0.377,  25.419
 0.073,  0.269,0.405,  27.298
 0.074,  0.269,0.432,  29.189
 0.076,  0.269,0.458,  31.087
 0.077,  0.269,0.484,  32.987
 0.078,  0.269,0.509,  34.884
 0.080,  0.269,0.533,  36.772
 0.081,  0.269,0.555,  38.649
 0.083,  0.269,0.577,  40.509
 0.084,  0.269,0.599,  42.350
 0.085,  0.269,0.619,  44.168
 0.087,  0.269,0.638,  45.959
 0.088,  0.269,0.656,  47.722
 0.090,  0.269,0.674,  49.453
 0.091,  0.269,0.691,  51.151
 0.092,  0.269,0.707,  52.812
 0.094,  0.269,0.722,  54.437
 0.095,  0.269,0.737,  56.023
 0.097,  0.269,0.750,  57.569
 0.098,  0.269,0.764,  59.075
