Time(s),Length(m),Activation,Force(N)
 0.000,  0.190,0.010,   4.688
 0.001,  0.190,0.010,   4.688
 0.003,  0.190,0.010,   4.688
 0.004,  0.190,0.010,   4.688
 0.006,  0.190,0.010,   4.688
 0.007,  0.190,0.010,   4.688
 0.008,  0.190,0.010,   4.688
 0.010,  0.190,0.010,   4.688
 0.011,  0.190,0.010,   4.688
 0.013,  0.190,0.010,   4.688
 0.014,  0.190,0.010,   4.688
 0.015,  0.190,0.010,   4.688
 0.017,  0.190,0.010,   4.688
 0.018,  0.190,0.010,   4.688
 0.020,  0.190,0.010,   4.688
 0.021,  0.190,0.010,   4.688
 0.022,  0.190,0.010,   4.688
 0.024,  0.190,0.010,   4.688
 0.025,  0.190,0.010,   4.688
 0.027,  0.190,0.010,   4.688
 0.028,  0.190,0.010,   4.688
 0.029,  0.190,0.010,   4.688
 0.031,  0.190,0.010,   4.688
 0.032,  0.190,0.010,   4.688
 0.034,  0.190,0.010,   4.688
 0.035,  0.190,0.010,   4.688
 0.036,  0.190,0.010,   4.688
 0.038,  0.190,0.010,   4.688
 0.039,  0.190,0.010,   4.688
 0.041,  0.190,0.010,   4.688
 0.042,  0.190,0.010,   4.688
 0.043,  0.190,0.010,   4.688
 0.045,  0.190,0.010,   4.688
 0.046,  0.190,0.010,   4.688
 0.048,  0.190,0.010,   4.688
 0.049,  0.190,0.010,   4.688
 0.050,  0.190,0.010,   4.694
 0.052,  0.190,0.016,   4.974
 0.053,  0.190,0.027,   5.623
 0.055,  0.190,0.044,   6.522
 0.056,  0.190,0.064,   7.606
 0.057,  0.190,0.088,   8.838
 0.059,  0.190,0.113,  10.191
 0.060,  0.190,0.141,  11.646
 0.062,  0.190,0.169,  13.188
 0.063,  0.190,0.199,  14.806
 0.064,  0.190,0.229,  16.489
 0.066,  0.190,0.259,  18.228
 0.067,  0.190,0.289,  20.014
 0.069,  0.190,0.319,  21.840
 0.070,  0.190,0.348,  23.698
 0.071,  0.190,0.377,  25.583
 0.073,  0.190,0.405,  27.487
 0.074,  0.190,0.432,  29.405
 0.076,  0.190,0.458,  31.331
 0.077,  0.190,0.484,  33.259
 0.078,  0.190,0.509,  35.185
 0.080,  0.190,0.533,  37.104
 0.081,  0.190,0.555,  39.012
 0.083,  0.190,0.577,  40.904
 0.084,  0.190,0.599,  42.776
 0.085,  0.190,0.619,  44.626
 0.087,  0.190,0.638,  46.450
 0.088,  0.190,0.656,  48.245
 0.090,  0.190,0.674,  50.008
 0.091,  0.190,0.691,  51.737
 0.092,  0.190,0.707,  53.431
 0.094,  0.190,0.722,  55.088
 0.095,  0.190,0.737,  56.705
 0.097,  0.190,0.750,  58.282
 0.098,  0.190,0.764,  59.817
 0.099,  0.190,0.776,  61.311
 0.101,  0.190,0.788,  62.762
 0.102,  0.190,0.799,  64.170
 0.104,  0.190,0.810,  65.534
 0.105,  0.190,0.820,  66.856
 0.106,  0.190,0.829,  68.134
 0.108,  0.190,0.839,  69.368
 0.109,  0.190,0.847,  70.561
 0.111,  0.190,0.855,  71.711
 0.112,  0.190,0.863,  72.819
 0.113,  0.190,0.871,  73.887
 0.115,  0.190,0.877,  74.914
 0.116,  0.190,0.884,  75.902
 0.118,  0.190,0.890,  76.851
 0.119,  0.190,0.896,  77.762
 0.120,  0.190,0.902,  78.636
 0.122,  0.190,0.907,  79.475
 0.123,  0.190,0.912,  80.279
 0.125,  0.190,0.917,  81.049
 0.126,  0.190,0.921,  81.786
 0.127,  0.190,0.926,  82.491
 0.129,  0.190,0.930,  83.166
 0.130,  0.190,0.933,  83.811
 0.132,  0.190,0.937,  84.427
 0.133,  0.190,0.941,  85.015
 0.134,  0.190,0.944,  85.577
 0.136,  0.190,0.947,  86.113
 0.137,  0.190,0.950,  86.625
 0.139,  0.190,0.952,  87.113
 0.140,  0.190,0.955,  87.578
 0.141,  0.190,0.957,  88.021
 0.143,  0.190,0.960,  88.443
 0.144,  0.190,0.962,  88.845
 0.146,  0.190,0.964,  89.227
 0.147,  0.190,0.966,  89.592
 0.148,  0.190,0.968,  89.938
 0.150,  0.190,0.970,  90.268
 0.151,  0.190,0.971,  90.582
 0.153,  0.190,0.973,  90.880
 0.154,  0.190,0.974,  91.163
 0.155,  0.190,0.976,  91.432
 0.157,  0.190,0.977,  91.688
 0.158,  0.190,0.978,  91.931
 0.160,  0.190,0.979,  92.162
 0.161,  0.190,0.981,  92.382
 0.162,  0.190,0.982,  92.590
 0.164,  0.190,0.983,  92.787
