Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   0.026
 0.104,   0.098
 0.106,   0.198
 0.108,   0.248
 0.110,   0.248
 0.112,   0.238
 0.114,   0.229
 0.116,   0.220
 0.118,   0.211
 0.120,   0.203
 0.122,   0.195
 0.124,   0.188
 0.126,   0.180
 0.128,   0.173
 0.130,   0.166
 0.132,   0.160
 0.134,   0.154
 0.136,   0.148
 0.138,   0.142
 0.140,   0.136
 0.142,   0.131
 0.144,   0.126
 0.146,   0.121
 0.148,   0.116
 0.150,   0.112
 0.152,   0.107
 0.154,   0.103
 0.156,   0.099
 0.158,   0.095
 0.160,   0.091
 0.162,   0.088
 0.164,   0.084
 0.166,   0.081
 0.168,   0.078
 0.170,   0.075
 0.172,   0.072
 0.174,   0.069
 0.176,   0.066
 0.178,   0.064
 0.180,   0.061
 0.182,   0.059
 0.184,   0.056
 0.186,   0.054
 0.188,   0.052
 0.190,   0.050
 0.192,   0.048
 0.194,   0.046
 0.196,   0.044
 0.198,   0.043
 0.200,   0.041
 0.202,   0.075
 0.204,   0.175
 0.206,   0.322
 0.208,   0.443
 0.210,   0.538
 0.212,   0.593
 0.214,   0.592
 0.216,   0.570
 0.218,   0.548
 0.220,   0.526
 0.222,   0.506
 0.224,   0.486
 0.226,   0.467
 0.228,   0.448
 0.230,   0.431
 0.232,   0.414
 0.234,   0.398
 0.236,   0.382
 0.238,   0.367
 0.240,   0.353
 0.242,   0.339
 0.244,   0.326
 0.246,   0.313
 0.248,   0.301
 0.250,   0.289
 0.252,   0.277
 0.254,   0.267
 0.256,   0.256
 0.258,   0.246
 0.260,   0.236
 0.262,   0.227
 0.264,   0.218
 0.266,   0.228
 0.268,   0.286
 0.270,   0.372
 0.272,   0.408
 0.274,   0.400
 0.276,   0.384
 0.278,   0.369
 0.280,   0.355
 0.282,   0.341
 0.284,   0.328
 0.286,   0.315
 0.288,   0.302
 0.290,   0.291
 0.292,   0.279
 0.294,   0.268
 0.296,   0.258
 0.298,   0.248
 0.300,   0.238
 0.302,   0.411
 0.304,   0.880
 0.306,   1.503
 0.308,   1.747
 0.310,   1.784
 0.312,   1.713
 0.314,   1.643
 0.316,   1.624
 0.318,   1.623
 0.320,   1.571
 0.322,   1.491
 0.324,   1.411
 0.326,   1.335
 0.328,   1.264
 0.330,   1.197
 0.332,   1.134
 0.334,   1.074
 0.336,   1.017
 0.338,   0.964
 0.340,   0.913
 0.342,   0.866
 0.344,   0.821
 0.346,   0.778
 0.348,   0.738
 0.350,   0.700
 0.352,   0.664
 0.354,   0.635
 0.356,   0.649
 0.358,   0.706
 0.360,   0.736
 0.362,   0.716
 0.364,   0.714
 0.366,   0.779
 0.368,   0.878
 0.370,   0.903
 0.372,   0.873
 0.374,   0.835
 0.376,   0.798
 0.378,   0.763
 0.380,   0.730
 0.382,   0.698
 0.384,   0.668
 0.386,   0.639
 0.388,   0.611
 0.390,   0.586
 0.392,   0.587
 0.394,   0.636
 0.396,   0.690
 0.398,   0.689
 0.400,   0.664
 0.402,   0.664
 0.404,   0.717
 0.406,   0.802
 0.408,   0.998
 0.410,   1.431
 0.412,   1.997
 0.414,   2.195
 0.416,   2.228
 0.418,   2.150
 0.420,   2.040
 0.422,   1.932
 0.424,   1.832
 0.426,   1.770
 0.428,   1.760
 0.430,   1.737
 0.432,   1.667
 0.434,   1.584
 0.436,   1.504
 0.438,   1.429
 0.440,   1.357
 0.442,   1.289
 0.444,   1.225
 0.446,   1.164
 0.448,   1.107
 0.450,   1.052
 0.452,   1.301
 0.454,   2.060
 0.456,   3.029
 0.458,   3.295
 0.460,   3.260
 0.462,   3.116
 0.464,   2.947
 0.466,   2.786
 0.468,   2.856
 0.470,   3.208
 0.472,   3.498
 0.474,   3.392
 0.476,   3.208
 0.478,   3.020
 0.480,   2.843
 0.482,   2.676
 0.484,   2.522
 0.486,   2.401
 0.488,   2.339
 0.490,   2.325
 0.492,   2.330
 0.494,   2.307
 0.496,   2.212
 0.498,   2.096
 0.500,   1.984
 0.502,   1.909
 0.504,   1.895
 0.506,   1.949
 0.508,   1.999
 0.510,   2.023
 0.512,   1.984
 0.514,   1.946
 0.516,   2.195
 0.518,   2.683
 0.520,   2.927
 0.522,   2.846
 0.524,   2.761
 0.526,   2.735
 0.528,   2.673
 0.530,   2.553
 0.532,   2.421
 0.534,   2.297
 0.536,   2.178
 0.538,   2.070
 0.540,   1.997
 0.542,   1.975
 0.544,   1.936
 0.546,   1.855
 0.548,   1.764
 0.550,   1.678
 0.552,   1.639
 0.554,   1.853
 0.556,   2.732
 0.558,   4.152
 0.560,   4.993
 0.562,   4.970
 0.564,   4.742
 0.566,   4.575
 0.568,   4.493
 0.570,   4.364
 0.572,   4.159
 0.574,   3.934
 0.576,   3.720
 0.578,   3.518
 0.580,   3.328
 0.582,   3.504
 0.584,   4.279
 0.586,   5.304
 0.588,   5.476
 0.590,   5.304
 0.592,   5.091
 0.594,   5.070
 0.596,   5.310
 0.598,   5.313
 0.600,   5.064
 0.602,   4.829
 0.604,   4.704
 0.606,   4.655
 0.608,   4.520
 0.610,   4.362
 0.612,   4.575
 0.614,   5.583
 0.616,   7.055
 0.618,   7.819
