Time(s),Force(N)
 0.636,   0.594
 0.638,   0.648
 0.640,   0.650
 0.642,   0.629
 0.644,   0.605
 0.646,   0.581
 0.648,   0.558
 0.650,   0.536
 0.652,   0.515
 0.654,   0.497
 0.656,   0.500
 0.658,   0.550
 0.660,   0.592
 0.662,   0.586
 0.664,   0.565
 0.666,   0.543
 0.668,   0.522
 0.670,   0.539
 0.672,   0.623
 0.674,   0.733
 0.676,   0.777
 0.678,   0.805
 0.680,   0.850
 0.682,   0.847
 0.684,   0.820
 0.686,   0.788
 0.688,   0.757
 0.690,   0.727
 0.692,   0.699
 0.694,   0.671
 0.696,   0.654
 0.698,   0.675
 0.700,   0.726
 0.702,   0.731
 0.704,   0.709
 0.706,   0.681
 0.708,   0.654
 0.710,   0.629
 0.712,   0.604
 0.714,   0.581
 0.716,   0.572
 0.718,   0.605
 0.720,   0.663
 0.722,   0.731
 0.724,   0.838
 0.726,   0.898
 0.728,   0.886
 0.730,   0.852
 0.732,   0.818
 0.734,   0.790
 0.736,   0.789
 0.738,   0.833
 0.740,   0.848
 0.742,   0.827
 0.744,   0.795
 0.746,   0.764
 0.748,   0.734
 0.750,   0.705
 0.752,   0.679
 0.754,   0.671
 0.756,   0.707
 0.758,   0.743
 0.760,   0.733
 0.762,   0.708
 0.764,   0.715
 0.766,   0.789
 0.768,   0.880
 0.770,   0.893
 0.772,   0.880
 0.774,   0.903
 0.776,   0.935
 0.778,   0.919
 0.780,   0.887
 0.782,   0.852
 0.784,   0.819
 0.786,   0.786
 0.788,   0.757
 0.790,   0.746
 0.792,   0.780
 0.794,   0.811
 0.796,   0.796
 0.798,   0.767
 0.800,   0.738
 0.802,   0.745
 0.804,   0.819
 0.806,   0.908
 0.808,   0.943
 0.810,   0.984
 0.812,   0.989
 0.814,   0.962
 0.816,   0.924
 0.818,   0.888
 0.820,   0.853
 0.822,   0.820
 0.824,   0.801
 0.826,   0.823
 0.828,   0.859
 0.830,   0.848
 0.832,   0.818
 0.834,   0.787
 0.836,   0.780
 0.838,   0.839
 0.840,   0.934
 0.842,   0.984
 0.844,   1.026
 0.846,   1.021
 0.848,   0.990
 0.850,   0.951
 0.852,   0.914
 0.854,   0.878
 0.856,   0.848
 0.858,   0.843
 0.860,   0.881
 0.862,   0.890
 0.864,   0.866
 0.866,   0.834
 0.868,   0.833
 0.870,   0.900
 0.872,   0.980
 0.874,   1.005
 0.876,   1.041
 0.878,   1.044
 0.880,   1.015
 0.882,   0.976
 0.884,   0.937
 0.886,   0.901
 0.888,   0.871
 0.890,   0.868
 0.892,   0.905
 0.894,   0.908
 0.896,   0.886
 0.898,   0.897
 0.900,   0.974
 0.902,   1.027
 0.904,   1.021
 0.906,   1.024
 0.908,   1.055
 0.910,   1.041
 0.912,   1.006
 0.914,   0.967
 0.916,   0.929
 0.918,   0.894
 0.920,   0.876
 0.922,   0.902
 0.924,   0.928
 0.926,   0.960
 0.928,   1.039
 0.930,   1.080
 0.932,   1.057
 0.934,   1.024
 0.936,   1.019
 0.938,   1.050
 0.940,   1.040
 0.942,   1.007
 0.944,   0.968
 0.946,   0.930
 0.948,   0.896
 0.950,   0.885
 0.952,   0.953
 0.954,   1.071
 0.956,   1.136
 0.958,   1.118
 0.960,   1.076
 0.962,   1.035
 0.964,   1.008
 0.966,   1.019
 0.968,   1.042
 0.970,   1.021
 0.972,   0.984
 0.974,   0.945
 0.976,   0.921
 0.978,   0.965
 0.980,   1.085
 0.982,   1.165
 0.984,   1.154
 0.986,   1.114
 0.988,   1.071
 0.990,   1.029
 0.992,   0.998
 0.994,   0.997
 0.996,   1.026
 0.998,   1.013
 1.000,   0.992
 1.002,   1.021
 1.004,   1.096
 1.006,   1.116
 1.008,   1.123
 1.010,   1.146
 1.012,   1.126
 1.014,   1.088
 1.016,   1.045
 1.018,   1.005
 1.020,   0.977
 1.022,   0.987
 1.024,   1.046
 1.026,   1.126
 1.028,   1.177
 1.030,   1.156
 1.032,   1.115
 1.034,   1.088
 1.036,   1.101
 1.038,   1.112
 1.040,   1.085
 1.042,   1.044
 1.044,   1.005
 1.046,   0.999
 1.048,   1.077
 1.050,   1.197
 1.052,   1.217
 1.054,   1.185
 1.056,   1.139
 1.058,   1.094
 1.060,   1.062
 1.062,   1.060
 1.064,   1.084
 1.066,   1.070
 1.068,   1.077
 1.070,   1.142
 1.072,   1.174
 1.074,   1.166
 1.076,   1.182
 1.078,   1.181
 1.080,   1.148
 1.082,   1.104
 1.084,   1.061
 1.086,   1.031
 1.088,   1.054
 1.090,   1.162
 1.092,   1.239
 1.094,   1.227
 1.096,   1.184
 1.098,   1.142
 1.100,   1.122
 1.102,   1.143
 1.104,   1.135
 1.106,   1.102
 1.108,   1.080
 1.110,   1.119
 1.112,   1.193
 1.114,   1.233
 1.116,   1.243
 1.118,   1.210
 1.120,   1.165
 1.122,   1.120
 1.124,   1.087
 1.126,   1.089
 1.128,   1.138
 1.130,   1.209
 1.132,   1.252
 1.134,   1.227
 1.136,   1.189
 1.138,   1.173
 1.140,   1.192
 1.142,   1.175
 1.144,   1.137
 1.146,   1.103
 1.148,   1.123
 1.150,   1.208
 1.152,   1.272
 1.154,   1.272
 1.156,   1.234
 1.158,   1.187
 1.160,   1.142
 1.162,   1.113
 1.164,   1.128
 1.166,   1.176
 1.168,   1.249
 1.170,   1.269
 1.172,   1.237
 1.174,   1.201
 1.176,   1.194
 1.178,   1.209
 1.180,   1.183
 1.182,   1.146
 1.184,   1.139
 1.186,   1.202
 1.188,   1.255
 1.190,   1.289
 1.192,   1.269
 1.194,   1.227
 1.196,   1.179
 1.198,   1.137
 1.200,   1.122
 1.202,   1.187
 1.204,   1.283
 1.206,   1.302
 1.208,   1.266
 1.210,   1.218
 1.212,   1.186
 1.214,   1.193
 1.216,   1.198
 1.218,   1.183
 1.220,   1.208
 1.222,   1.261
 1.224,   1.258
 1.226,   1.256
 1.228,   1.268
 1.230,   1.240
 1.232,   1.196
 1.234,   1.155
 1.236,   1.156
 1.238,   1.241
 1.240,   1.321
 1.242,   1.315
 1.244,   1.272
 1.246,   1.222
 1.248,   1.178
 1.250,   1.156
 1.252,   1.198
 1.254,   1.274
 1.256,   1.321
 1.258,   1.294
 1.260,   1.249
 1.262,   1.215
 1.264,   1.221
 1.266,   1.225
 1.268,   1.213
 1.270,   1.243
